Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	SURF	HYBR	DIV02	MaxEstLhood	MaxObsLhood
run1	6549	55536	302488	8.07949e-08	1.00475e-04	0.9764562	34214	844709	-63795116.443	-62104704.213
run2	29239	6192	519660	3.53217e-04	9.74449e-05	0.7294001	2340	87106	-63223126.903	-62104704.213
run3	6751	54679	312518	7.64535e-07	1.00107e-04	0.9766522	34189	779338	-63797728.547	-62104704.213
run4	32515	9657	502958	2.00199e-04	8.04645e-05	0.5946510	3219	99205	-63231853.658	-62104704.213
run5	33085	11666	457792	1.21563e-04	6.83117e-05	0.5572108	3521	92801	-63248525.670	-62104704.213
run6	31387	14883	524274	3.93694e-05	9.05063e-05	0.4043437	3672	88249	-63245172.104	-62104704.213
run7	33367	12242	503220	9.80759e-05	8.39312e-05	0.4703090	3524	100889	-63237909.307	-62104704.213
run8	6792	54396	312976	3.59925e-07	1.05981e-04	0.9739502	33264	819859	-63795491.969	-62104704.213
run9	31993	11836	503651	9.06104e-05	9.20778e-05	0.4512449	3059	91203	-63235192.675	-62104704.213
run10	36513	14406	505165	3.58547e-05	7.54070e-05	0.3993652	3778	101010	-63250116.625	-62104704.213
run11	6539	54462	295980	3.00286e-07	1.04295e-04	0.9782885	34461	859636	-63794934.944	-62104704.213
run12	6754	49581	310960	5.26197e-07	1.04505e-04	0.9726180	31072	754851	-63792908.159	-62104704.213
run13	541698	2688	427060	6.22630e-04	2.87675e-04	0.9377607	25468	85787	-64749069.099	-62104704.213
run14	7716	57354	302593	3.00568e-07	9.58543e-05	0.9716213	35643	739439	-63799013.144	-62104704.213
run15	32383	10773	502866	1.40391e-04	8.13703e-05	0.5332854	3233	98068	-63237615.915	-62104704.213
run16	33077	8767	519840	2.11799e-04	6.91438e-05	0.6313390	3227	96338	-63237296.474	-62104704.213
run17	6913	51369	311191	6.23349e-07	1.06708e-04	0.9744451	32135	833064	-63793789.035	-62104704.213
run18	32298	8846	531590	2.17134e-04	7.57414e-05	0.6211433	3082	99497	-63230146.615	-62104704.213
run19	35100	16098	515653	8.56840e-05	5.89975e-05	0.5173361	5147	103253	-63268837.566	-62104704.213
run20	34813	14712	499960	5.93040e-05	7.86703e-05	0.4207023	3840	93924	-63248023.316	-62104704.213
run21	35039	16402	526206	1.83031e-05	7.96507e-05	0.3631399	3886	97739	-63248587.151	-62104704.213
run22	37167	13885	473112	7.02703e-05	6.97123e-05	0.4608748	4274	101501	-63252722.781	-62104704.213
run23	35222	11162	537831	1.16860e-04	7.52861e-05	0.5176135	3590	97072	-63241955.780	-62104704.213
run24	32906	8721	543852	2.24641e-04	7.95095e-05	0.6157654	2936	97747	-63232665.927	-62104704.213
run25	1063	215653	340205	4.01376e-04	0.0011229	0.9688252	14713	310849	-63934725.621	-62104704.213
run26	34558	13165	524949	1.43062e-04	5.96230e-05	0.6060319	4414	103640	-63253804.035	-62104704.213
run27	6682	53772	311950	5.41345e-07	9.59698e-05	0.9749127	32945	689370	-63794094.135	-62104704.213
run28	7609	59543	306573	3.57582e-07	9.02536e-05	0.9789617	37219	766861	-63802335.613	-62104704.213
run29	6966	52292	310796	3.61119e-07	1.01601e-04	0.9730149	31847	764443	-63795174.717	-62104704.213
run30	5880	46122	320018	2.45078e-07	1.15334e-04	0.9586001	29323	759529	-63797548.160	-62104704.213
run31	6589	53133	305358	9.05288e-07	1.02269e-04	0.9800859	33452	838813	-63794160.634	-62104704.213
run32	29776	12697	545099	8.19892e-05	8.77759e-05	0.4770581	3604	92609	-63242751.307	-62104704.213
run33	34173	12237	500479	1.04241e-04	7.78126e-05	0.4792809	3716	102321	-63243077.920	-62104704.213
run34	7114	53228	312968	1.03491e-06	1.01417e-04	0.9776761	32936	789442	-63796905.502	-62104704.213
run35	467002	4430	416691	3.51513e-04	2.03429e-04	0.6190173	32822	65994	-64791001.977	-62104704.213
run36	32259	7529	547228	2.91953e-04	7.83035e-05	0.7174828	2749	88746	-63228336.004	-62104704.213
run37	36418	19794	499384	3.60123e-08	7.09533e-05	0.3520950	4570	99140	-63258948.502	-62104704.213
run38	34611	14671	500826	3.73191e-05	7.38279e-05	0.4187899	4034	102680	-63252408.393	-62104704.213
run39	35818	19120	489592	1.24172e-05	7.62046e-05	0.3574435	4456	102120	-63255113.028	-62104704.213
run40	6433	50340	305809	1.28079e-07	1.12160e-04	0.9680628	30724	843015	-63792939.688	-62104704.213
run41	7330	53652	313239	7.26343e-07	9.95078e-05	0.9744905	33027	737772	-63797339.840	-62104704.213
run42	31859	10219	537814	1.13192e-04	8.51850e-05	0.5074197	3275	87761	-63239706.366	-62104704.213
run43	6822	54453	310850	3.46028e-07	9.85013e-05	0.9771826	33684	808214	-63795341.534	-62104704.213
run44	33309	14096	510054	7.78473e-05	8.08405e-05	0.4432801	3874	102424	-63240691.326	-62104704.213
run45	30584	15128	514784	1.50697e-05	9.70323e-05	0.3744934	3757	97407	-63250484.712	-62104704.213
run46	6372	53646	301885	1.41359e-07	1.08476e-04	0.9699647	33451	826373	-63795769.239	-62104704.213
run47	34915	16299	487274	5.75205e-06	8.25467e-05	0.3754767	4029	101840	-63254616.572	-62104704.213
run48	6630	52672	301159	3.43180e-07	1.03495e-04	0.9769598	33147	812021	-63793792.376	-62104704.213
run49	32792	11948	512175	1.30858e-04	7.63137e-05	0.5237239	3498	93971	-63238646.965	-62104704.213
run50	6659	51257	302992	1.02139e-06	1.06126e-04	0.9787629	31985	813144	-63791891.984	-62104704.213
run51	6654	51265	311331	6.42746e-07	1.00552e-04	0.9731861	31950	741259	-63793071.647	-62104704.213
run52	36816	13677	471250	5.08701e-05	8.87187e-05	0.3945051	3598	99758	-63249142.666	-62104704.213
run53	7330	53583	311402	5.17602e-07	1.00438e-04	0.9733153	33634	736101	-63796378.863	-62104704.213
run54	34897	17585	503774	7.15537e-06	7.83321e-05	0.3559355	4156	96885	-63248287.806	-62104704.213
run55	33979	14936	487933	1.09521e-05	9.44570e-05	0.3518159	3475	95776	-63242834.537	-62104704.213
run56	33863	13637	504483	2.55490e-05	9.38617e-05	0.3777850	3334	94322	-63243534.248	-62104704.213
run57	33600	8605	500827	2.15377e-04	7.30547e-05	0.6487594	3066	96799	-63234481.039	-62104704.213
run58	6658	51725	303679	1.29304e-07	1.10768e-04	0.9681781	32586	859413	-63795438.876	-62104704.213
run59	6083	53272	308714	8.50579e-08	1.10265e-04	0.9716119	31911	771279	-63793699.165	-62104704.213
run60	31128	6914	499148	3.14617e-04	8.90640e-05	0.6865961	2537	98684	-63222410.833	-62104704.213
run61	7069	53002	309335	4.66654e-07	1.01985e-04	0.9779474	33402	800902	-63796212.629	-62104704.213
run62	5996	52696	304480	7.45129e-08	1.10227e-04	0.9660467	31560	763710	-63794441.161	-62104704.213
run63	6294	51610	297950	5.19343e-07	1.15596e-04	0.9782557	31475	807392	-63796340.968	-62104704.213
run64	391306	5517	480369	2.78209e-04	1.71215e-04	0.5894046	33627	68931	-64822713.268	-62104704.213
run65	6312	53057	310854	3.56211e-07	1.03068e-04	0.9729836	32583	724519	-63794054.406	-62104704.213
run66	7079	56150	321453	5.09197e-07	9.22045e-05	0.9750142	34871	758727	-63796077.712	-62104704.213
run67	6848	51439	316632	5.14015e-07	9.91567e-05	0.9691167	32499	747903	-63794939.612	-62104704.213
run68	1013	252681	354009	4.06901e-04	0.0012519	0.9766797	16227	338695	-63924509.619	-62104704.213
run69	30968	8487	516632	2.40174e-04	8.69545e-05	0.6288635	2739	89481	-63225425.250	-62104704.213
run70	7404	57164	313096	1.00428e-07	9.13986e-05	0.9672766	34881	708919	-63798656.299	-62104704.213
run71	33777	11969	533386	8.23661e-05	9.20010e-05	0.4367928	3165	99768	-63235638.924	-62104704.213
run72	33128	12439	517797	9.01497e-05	8.29049e-05	0.4650684	3348	92343	-63237924.383	-62104704.213
run73	7457	56477	312153	1.52412e-07	9.40302e-05	0.9730315	36334	833237	-63800928.314	-62104704.213
