Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_S2C	MIG_S2E	SURF	HYBR	DIV02	MaxEstLhood	MaxObsLhood
run1	4408	25176	311129	1.22292e-07	1.14539e-04	2.52797e-05	1.15804e-05	0.9238421	33379	921217	-63533946.990	-62104704.213
run2	8204	31381	448677	1.10288e-04	2.53140e-05	3.05469e-05	7.14083e-07	0.7832799	48586	209928	-63468562.844	-62104704.213
run3	27466	1437	519046	8.09521e-04	6.22684e-05	1.43088e-05	3.06821e-04	0.6871283	3290	86890	-63132545.501	-62104704.213
run4	5507	30483	315451	1.33520e-07	9.29543e-05	1.94692e-05	9.04257e-06	0.9074547	34794	745682	-63527004.551	-62104704.213
run5	28070	7921	502252	9.97101e-05	6.26196e-05	1.56199e-05	4.45649e-05	0.3381240	3369	88083	-63130620.359	-62104704.213
run6	6680	30521	353449	1.13463e-04	3.20764e-05	3.50187e-05	5.38613e-07	0.4230061	89434	620386	-63485171.716	-62104704.213
run7	6304	33308	299062	1.30910e-06	8.18220e-05	1.66171e-05	8.31443e-06	0.9597809	40952	907321	-63522312.617	-62104704.213
run8	7185	35104	301851	5.87993e-07	7.70038e-05	1.19796e-05	8.36209e-06	0.9443690	44907	824999	-63525703.869	-62104704.213
run9	5902	29319	362941	1.33317e-04	3.61021e-05	3.86006e-05	7.19291e-08	0.1840164	72727	521606	-63483424.913	-62104704.213
run10	4504	22657	357039	1.89288e-04	3.75351e-05	5.62486e-05	6.08637e-07	0.8428109	48604	559519	-63484859.459	-62104704.213
run11	7357	36174	311373	2.67171e-07	7.38735e-05	1.30582e-05	7.48650e-06	0.9512534	46232	905296	-63527129.600	-62104704.213
run12	5777	26095	454538	1.53212e-04	2.28184e-05	4.32998e-05	2.13073e-06	0.4691375	30240	194933	-63461468.841	-62104704.213
run13	5228	31028	404670	1.30680e-04	4.84391e-05	4.33788e-05	2.45814e-07	0.3226732	47911	198797	-63475414.411	-62104704.213
run14	27310	7948	525265	1.59082e-04	4.36692e-05	1.60671e-05	2.98759e-05	0.4653611	3820	91088	-63128802.963	-62104704.213
run15	3864	19718	359246	1.95138e-04	6.20153e-05	6.15768e-05	2.05794e-06	0.3498459	52579	664633	-63487836.587	-62104704.213
run16	26737	2891	525819	4.76196e-04	5.78033e-05	1.71364e-05	1.24558e-04	0.7567481	2533	85266	-63116356.291	-62104704.213
run17	3975	24378	364136	2.06342e-04	7.07097e-05	5.68695e-05	3.05785e-07	0.2666459	54981	546875	-63484234.362	-62104704.213
run18	5988	29645	310482	4.69917e-07	8.19208e-05	1.76247e-05	1.05999e-05	0.9354832	38615	848799	-63526234.199	-62104704.213
run19	5779	33478	303857	7.16834e-07	8.74034e-05	1.71873e-05	8.31548e-06	0.9413403	41179	927010	-63524753.902	-62104704.213
run20	6692	29920	352219	1.33920e-04	2.40038e-05	3.52612e-05	5.34317e-07	0.5031700	85935	587834	-63487055.526	-62104704.213
run21	4019	22402	377326	1.92309e-04	5.43853e-05	6.08013e-05	9.92756e-07	0.6615025	45272	486971	-63485426.184	-62104704.213
run22	5669	24737	360596	1.46002e-04	2.78365e-05	4.25744e-05	4.54933e-07	0.2850453	65411	564510	-63486751.107	-62104704.213
