Run	N_CMC	N_CME	N_CMS	SURF	HYBR	DIV02	MaxEstLhood	MaxObsLhood
run1	60757	32522	355574	0.1343875	5766	52151	-64233086.809	-62104704.213
run2	56841	32037	402760	0.1480973	5820	49097	-64226241.898	-62104704.213
run3	63732	30094	484995	0.1481404	5878	53670	-64232662.370	-62104704.213
run4	60814	28220	436517	0.1599282	5258	52956	-64227011.241	-62104704.213
run5	60758	23366	419590	0.1831728	4436	54614	-64223884.965	-62104704.213
run6	63661	28725	502742	0.1651910	5471	58341	-64232734.424	-62104704.213
run7	62610	30466	454692	0.1597681	5581	54677	-64229653.130	-62104704.213
run8	62904	36026	476866	0.1392551	6552	51935	-64235535.552	-62104704.213
run9	58926	28304	402626	0.1483400	4907	51113	-64227906.151	-62104704.213
run10	57606	28582	395800	0.1426973	5215	50729	-64229047.115	-62104704.213
run11	60438	32828	441187	0.1572552	6272	53547	-64228143.221	-62104704.213
run12	66110	24810	428693	0.1733501	4726	57646	-64228441.309	-62104704.213
run13	63619	32687	440519	0.1516589	5833	53341	-64227162.346	-62104704.213
run14	64049	24070	444026	0.1593761	4470	54805	-64227655.734	-62104704.213
run15	58618	28892	478273	0.1512681	5305	51175	-64223086.484	-62104704.213
run16	65740	23762	510034	0.1613588	4261	57210	-64229174.884	-62104704.213
run17	60490	25772	404288	0.1436439	4928	52901	-64226286.950	-62104704.213
run18	59550	23735	420216	0.1715052	4292	52024	-64222337.239	-62104704.213
run19	66051	20404	474931	0.1767956	3693	57337	-64229953.505	-62104704.213
run20	63142	26448	454660	0.1765448	4985	54475	-64227119.006	-62104704.213
run21	57731	30326	422144	0.1459075	5040	48091	-64226079.325	-62104704.213
run22	62221	37337	434097	0.1436784	7058	55209	-64234332.704	-62104704.213
run23	57080	34873	398642	0.1322664	6195	48910	-64230871.358	-62104704.213
run24	62792	29490	459944	0.1596636	5675	54022	-64225470.585	-62104704.213
run25	63484	5258	450846	0.1887231	908	58068	-64247239.817	-62104704.213
run26	64889	37870	424445	0.1287846	6724	54207	-64233036.687	-62104704.213
run27	56328	27531	384604	0.1510044	4874	50897	-64229636.378	-62104704.213
run28	60505	32009	415077	0.1353328	5694	51582	-64232008.331	-62104704.213
run29	61801	32861	479386	0.1530798	5992	51184	-64232064.748	-62104704.213
run30	62560	30410	474658	0.1446104	5542	54183	-64227882.354	-62104704.213
run31	56619	32204	417166	0.1383571	5574	49012	-64230289.781	-62104704.213
run32	61585	19033	474257	0.1899214	3754	55318	-64226846.728	-62104704.213
run33	60357	32851	467225	0.1518255	5739	52456	-64233867.573	-62104704.213
run34	61511	28490	388172	0.1709617	5241	52325	-64228047.671	-62104704.213
run35	60223	26416	458466	0.1465999	5154	53763	-64228499.742	-62104704.213
run36	62598	26893	423631	0.1735926	5086	55366	-64223687.409	-62104704.213
run37	65553	27664	438645	0.1507785	4981	55749	-64228291.271	-62104704.213
run38	63639	26716	465012	0.1588938	4831	53154	-64229389.611	-62104704.213
run39	64475	26730	425292	0.1552311	5186	54636	-64227617.822	-62104704.213
run40	61488	26270	369965	0.1514790	4791	54032	-64231446.395	-62104704.213
run41	63721	25722	434390	0.1606925	4873	55772	-64224350.173	-62104704.213
run42	58084	23951	418766	0.1699296	4343	52584	-64224970.707	-62104704.213
run43	59632	26041	430721	0.1644901	4636	52689	-64227134.655	-62104704.213
run44	61893	32765	457573	0.1514323	5858	55455	-64231142.928	-62104704.213
run45	62116	27020	439235	0.1687121	4946	53838	-64228897.387	-62104704.213
run46	59936	32946	448669	0.1565196	6164	50312	-64232347.534	-62104704.213
run47	60206	31766	455745	0.1629748	5687	55128	-64229738.927	-62104704.213
run48	61284	17702	496993	0.1807801	3235	53467	-64228009.074	-62104704.213
run49	63730	34520	431481	0.1482604	6622	55173	-64231947.627	-62104704.213
run50	61303	39557	481933	0.1275324	6749	54012	-64232725.525	-62104704.213
