Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	DIV02	DIV12	MaxEstLhood	MaxObsLhood
run1	21627	65848	504093	5.57575e-06	2.58435e-05	47192	49473	-64041767.536	-62104704.213
run2	34432	53108	425266	1.37797e-05	1.33292e-05	50352	52176	-64049599.116	-62104704.213
run3	36700	21903	846518	9.84315e-05	6.43022e-06	35264	702984	-63826691.455	-62104704.213
run4	22082	63909	388959	5.39267e-06	2.28157e-05	46567	47990	-64043588.069	-62104704.213
run5	35349	19760	761181	1.04197e-04	6.35411e-06	34083	773925	-63828615.255	-62104704.213
run6	36282	18687	1030361	1.02432e-04	6.23960e-06	35526	783559	-63827699.667	-62104704.213
run7	34177	18825	798267	1.00536e-04	7.09309e-06	33251	690673	-63824087.476	-62104704.213
run8	21945	63671	404810	4.64218e-06	2.26636e-05	47102	47691	-64042345.865	-62104704.213
run9	1103	456732	221818	5.25151e-04	0.0011636	10401	97830	-64032903.957	-62104704.213
run10	37494	20118	979623	9.28960e-05	5.85875e-06	36836	756670	-63823807.705	-62104704.213
run11	23124	63765	377152	5.48904e-06	2.15398e-05	49565	50401	-64041879.314	-62104704.213
run12	39707	22924	677683	8.98843e-05	5.94777e-06	38896	716710	-63835618.734	-62104704.213
run13	34539	20079	954076	1.01944e-04	8.08424e-06	34338	698755	-63822747.574	-62104704.213
run14	30210	58880	448066	1.18376e-05	1.66895e-05	49812	51805	-64045906.613	-62104704.213
run15	1548	420887	657198	4.49315e-04	8.25870e-04	11810	98424	-64026857.305	-62104704.213
run16	33776	57936	409108	1.30731e-05	1.42157e-05	52983	53620	-64045712.713	-62104704.213
run17	33879	20651	890231	1.06130e-04	7.12232e-06	33485	711275	-63824988.320	-62104704.213
run18	40083	22603	771967	9.05653e-05	5.24367e-06	37107	701818	-63835463.455	-62104704.213
run19	40790	21809	734316	9.31782e-05	4.90911e-06	38478	795547	-63833904.051	-62104704.213
run20	23936	66682	402479	3.74564e-06	2.03519e-05	46396	48440	-64041269.541	-62104704.213
run21	36200	19655	809726	9.04206e-05	7.18611e-06	35963	615304	-63827175.357	-62104704.213
run22	31768	18363	669145	1.07586e-04	8.01007e-06	31428	694259	-63828968.693	-62104704.213
run23	1943	320582	573350	3.47441e-04	6.07539e-04	14182	102254	-64047617.619	-62104704.213
run24	1270	519990	218572	5.28370e-04	0.0010486	10867	98875	-64038817.527	-62104704.213
run25	35068	21259	823228	9.30068e-05	7.61525e-06	35870	689987	-63825249.620	-62104704.213
run26	36032	23943	820748	9.88024e-05	6.70997e-06	36891	673800	-63828695.628	-62104704.213
run27	2833	276481	564317	2.48599e-04	4.08188e-04	18784	86050	-64073571.835	-62104704.213
run28	33706	52305	397665	1.71513e-05	1.41032e-05	49718	51932	-64046677.038	-62104704.213
run29	35559	21507	976709	9.16037e-05	6.72227e-06	35894	652708	-63828910.826	-62104704.213
run30	1556	288177	274600	4.55737e-04	8.10495e-04	10380	101681	-64046421.410	-62104704.213
run31	33235	20954	618752	1.04519e-04	7.25754e-06	33431	672405	-63830753.374	-62104704.213
run32	27856	59964	411484	9.73273e-06	1.84890e-05	48835	51375	-64044826.673	-62104704.213
run33	42883	20988	738344	9.29126e-05	4.62609e-06	39269	752564	-63840288.427	-62104704.213
run34	36133	20714	867179	9.70749e-05	7.94774e-06	36616	672336	-63825302.860	-62104704.213
run35	36282	19232	942004	9.50021e-05	6.27480e-06	34883	706001	-63823406.556	-62104704.213
run36	1056	439476	343868	5.09403e-04	0.0011814	10310	88204	-64022908.576	-62104704.213
run37	36362	21269	803777	8.89703e-05	7.26207e-06	36484	623259	-63823136.561	-62104704.213
run38	35953	18932	878768	1.02037e-04	6.01097e-06	33888	781908	-63824475.904	-62104704.213
run39	40610	20438	741023	1.00460e-04	5.27954e-06	37214	789924	-63836247.085	-62104704.213
run40	29181	64416	450165	8.23265e-06	1.74211e-05	52920	53924	-64050049.106	-62104704.213
run41	23750	65421	409599	5.89222e-06	2.08197e-05	47789	48592	-64038017.610	-62104704.213
run42	41462	20902	748471	9.06566e-05	5.19538e-06	39116	691912	-63834992.402	-62104704.213
run43	41834	21580	627647	9.16018e-05	4.76863e-06	38699	712136	-63838844.405	-62104704.213
run44	1423	398848	212346	4.50268e-04	8.53158e-04	10792	89388	-64051521.428	-62104704.213
run45	39788	20991	928824	9.53146e-05	5.66609e-06	38047	750534	-63826832.620	-62104704.213
run46	4092	198329	594364	1.96784e-04	2.88717e-04	21135	84671	-64104256.850	-62104704.213
run47	1954	240890	209617	2.86968e-04	6.19682e-04	16056	86005	-64105652.288	-62104704.213
run48	38877	19091	671972	9.84342e-05	4.88201e-06	35751	711620	-63833240.497	-62104704.213
run49	27817	55665	341688	1.23888e-05	1.78855e-05	46860	48318	-64045549.642	-62104704.213
run50	30635	59396	426997	9.19747e-06	1.65060e-05	50962	51521	-64044472.887	-62104704.213
run51	42181	24330	720594	8.83877e-05	4.85882e-06	41707	793540	-63842254.662	-62104704.213
run52	37390	20666	998159	9.62163e-05	7.03609e-06	35818	650366	-63820220.199	-62104704.213
run53	30875	57296	430922	1.34031e-05	1.53801e-05	50425	51372	-64040767.804	-62104704.213
run54	22391	67323	421412	4.13172e-06	2.31713e-05	48379	51072	-64043306.246	-62104704.213
run55	33678	19650	713112	1.08985e-04	6.81868e-06	32033	729956	-63828109.465	-62104704.213
run56	23188	64675	442660	4.03811e-06	2.06074e-05	48240	49049	-64041219.269	-62104704.213
run57	36827	21019	889924	9.39336e-05	6.05015e-06	34979	692449	-63824820.846	-62104704.213
run58	23150	60601	371264	6.90521e-06	2.17152e-05	47385	48313	-64042735.699	-62104704.213
run59	39148	22464	797917	9.50210e-05	5.95382e-06	37868	773691	-63824489.028	-62104704.213
run60	37695	20427	818187	9.74585e-05	5.83984e-06	36003	714774	-63826297.889	-62104704.213
run61	32728	50228	423655	1.62596e-05	1.57962e-05	51710	54054	-64048462.233	-62104704.213
run62	32096	54461	399012	1.52124e-05	1.55870e-05	50662	52006	-64044574.035	-62104704.213
run63	32468	55020	451750	1.39387e-05	1.46864e-05	52659	53563	-64046221.561	-62104704.213
run64	37214	20737	737622	8.91633e-05	7.25608e-06	37127	684213	-63828888.871	-62104704.213
run65	30091	19995	837107	1.10147e-04	9.68531e-06	31263	616335	-63823528.246	-62104704.213
run66	2055	337776	244044	2.81587e-04	5.78942e-04	17148	79492	-64091416.672	-62104704.213
run67	32406	50080	422947	2.16001e-05	1.40949e-05	48043	50294	-64046449.903	-62104704.213
run68	35639	21398	664327	9.53235e-05	7.42444e-06	34493	674746	-63829543.799	-62104704.213
run69	38195	19766	760328	1.04384e-04	5.76613e-06	36314	768119	-63831511.109	-62104704.213
run70	32056	50301	459125	1.63265e-05	1.43983e-05	49839	51144	-64048834.298	-62104704.213
run71	30664	57145	398603	1.17874e-05	1.54865e-05	50338	51429	-64041251.458	-62104704.213
run72	19643	71241	409113	3.61881e-06	2.61587e-05	50768	51551	-64043763.484	-62104704.213
run73	1036	380339	218779	5.02023e-04	0.0011491	10178	88868	-64043279.657	-62104704.213
run74	1399	351723	203131	4.23364e-04	8.72026e-04	11385	96750	-64061590.725	-62104704.213
run75	35208	19549	617945	1.07635e-04	6.50582e-06	33321	695912	-63832614.154	-62104704.213
run76	38226	20987	829202	9.91043e-05	6.08340e-06	36669	749130	-63825744.084	-62104704.213
run77	38396	21380	652836	1.00091e-04	5.93962e-06	36765	747011	-63830661.138	-62104704.213
run78	33486	52435	413187	1.57307e-05	1.35981e-05	51584	53117	-64046686.672	-62104704.213
run79	35998	22034	768250	9.74612e-05	7.08604e-06	36542	740289	-63825351.202	-62104704.213
run80	26232	56662	435764	9.83101e-06	1.69204e-05	45913	49625	-64045641.989	-62104704.213
