Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_S2C	MIG_S2E	DIV12	DIV02	MaxEstLhood	MaxObsLhood
run1	12287	16184	486322	1.01365e-04	1.49983e-05	2.05314e-05	1.53282e-05	194448	1642191	-63344200.967	-62104704.213
run2	7260	30682	461207	9.31151e-07	1.13232e-04	1.77170e-05	1.17035e-05	133434	147219	-63598446.163	-62104704.213
run3	7493	23059	509239	1.26376e-04	2.88556e-05	3.57699e-05	1.78063e-06	130941	1601788	-63348480.907	-62104704.213
run4	8830	24521	499687	1.09634e-04	1.52305e-05	2.90927e-05	5.31051e-06	148239	1495823	-63346412.906	-62104704.213
run5	8269	26513	546660	1.35037e-04	2.05483e-05	3.24950e-05	1.08793e-06	140806	1402900	-63349330.648	-62104704.213
run6	28155	9125	204698	2.31653e-04	1.34030e-05	1.70897e-05	1.26381e-05	5605	98609	-63146710.829	-62104704.213
run7	27309	1916	392751	7.77448e-04	7.59679e-05	8.62075e-06	1.97364e-04	2169	85536	-63110866.501	-62104704.213
run8	7157	30002	350304	1.34924e-04	2.43249e-05	3.54965e-05	3.21617e-07	37747	176959	-63471261.942	-62104704.213
run9	5547	28115	536884	1.28869e-04	5.02341e-05	4.22858e-05	1.12858e-06	121742	1439014	-63359941.736	-62104704.213
run10	15092	1227	533812	9.34639e-04	2.39076e-05	1.15860e-05	3.13333e-04	175492	477579	-63391238.417	-62104704.213
run11	24381	4219	203116	4.00792e-04	3.35394e-05	1.67710e-05	7.03276e-05	3828	93142	-63108209.338	-62104704.213
run12	9021	19055	520634	1.12801e-04	2.34855e-05	2.66323e-05	1.19263e-05	153072	1364758	-63345993.585	-62104704.213
run13	8926	20049	514825	1.09765e-04	2.57046e-05	2.71201e-05	6.90777e-06	155214	1886131	-63344777.573	-62104704.213
run14	7779	28864	518681	1.07158e-04	2.65421e-05	3.28194e-05	3.16757e-06	136045	1046804	-63346580.851	-62104704.213
run15	28766	1706	334624	8.23249e-04	8.45139e-05	6.45714e-06	2.24958e-04	2121	95377	-63111076.424	-62104704.213
run16	10983	16332	495692	9.99135e-05	2.17092e-05	2.21559e-05	1.24256e-05	166878	1000112	-63343583.333	-62104704.213
run17	27119	6839	210056	2.73548e-04	1.77526e-05	1.73650e-05	3.05253e-05	4838	100137	-63125157.031	-62104704.213
run18	6555	28382	548132	1.32348e-04	3.33007e-05	3.73249e-05	8.29737e-07	142621	1525418	-63348454.032	-62104704.213
run19	9761	17713	497728	1.02615e-04	2.22725e-05	2.52340e-05	1.09918e-05	167216	1833581	-63339823.387	-62104704.213
run20	11817	13200	475997	1.08532e-04	1.18310e-05	2.20706e-05	1.74172e-05	164300	1076752	-63349430.049	-62104704.213
run21	10438	41548	576047	9.03933e-07	6.26705e-05	8.37803e-06	8.19440e-06	75319	1878559	-63358562.303	-62104704.213
run22	5134	22232	574197	1.88139e-04	3.06470e-05	5.02232e-05	1.75572e-07	77722	1097120	-63387361.585	-62104704.213
run23	7409	29333	505773	1.23545e-04	3.20183e-05	3.36664e-05	2.29195e-06	143937	1558693	-63351697.770	-62104704.213
run24	11032	12189	505313	1.06813e-04	2.16433e-05	2.07476e-05	2.21837e-05	149071	1075558	-63346101.160	-62104704.213
run25	28372	10051	204840	2.24087e-04	1.09921e-05	1.51142e-05	1.30070e-05	6001	95626	-63153105.223	-62104704.213
run26	30030	6211	287801	2.91457e-04	2.05322e-05	1.42978e-05	4.13554e-05	4644	94764	-63130531.492	-62104704.213
run27	7014	32658	503867	1.34414e-04	3.65187e-05	3.36912e-05	5.38088e-07	154511	1413740	-63346078.140	-62104704.213
run28	10659	11671	502377	1.22447e-04	1.79980e-05	2.16418e-05	2.38093e-05	163463	1505361	-63347410.000	-62104704.213
run29	12622	12660	484867	9.24586e-05	1.13384e-05	1.97916e-05	2.21497e-05	189125	1769865	-63353274.718	-62104704.213
run30	7104	25249	522495	1.37258e-04	2.69014e-05	3.70148e-05	1.01379e-06	141441	1904705	-63345787.341	-62104704.213
run31	9186	36856	525780	1.46485e-06	6.39057e-05	1.11219e-05	9.14225e-06	72209	1768392	-63357486.927	-62104704.213
run32	8683	39966	547225	1.12464e-06	6.13218e-05	1.27745e-05	7.96004e-06	71547	1782627	-63354752.738	-62104704.213
run33	30305	7433	203489	2.36684e-04	1.58372e-05	1.51564e-05	2.59120e-05	5447	98271	-63136630.030	-62104704.213
run34	6401	28069	550903	1.31837e-04	3.37411e-05	4.06617e-05	2.01481e-07	132413	1916889	-63346018.367	-62104704.213
run35	5449	31866	556406	1.37334e-04	5.15724e-05	4.16529e-05	2.47014e-07	130984	1364803	-63346405.017	-62104704.213
run36	6713	31469	530934	1.19384e-04	4.04680e-05	3.71246e-05	1.13188e-06	139851	1071684	-63346341.997	-62104704.213
run37	10219	16300	506383	9.93719e-05	1.39623e-05	2.57091e-05	1.14263e-05	144503	978261	-63344609.945	-62104704.213
run38	27771	6189	257826	2.99527e-04	1.33549e-05	1.92701e-05	3.69208e-05	4731	103033	-63130089.602	-62104704.213
run39	9472	39101	515550	1.16224e-06	6.93302e-05	9.74015e-06	8.21170e-06	70939	1911252	-63350485.044	-62104704.213
run40	9087	23936	517251	1.01118e-04	1.91064e-05	2.88531e-05	4.35967e-06	153599	1072930	-63349691.378	-62104704.213
run41	6918	24865	494501	1.18777e-04	2.94969e-05	3.61794e-05	2.64615e-06	150389	1804412	-63349212.522	-62104704.213
run42	28729	6145	218948	2.88410e-04	1.98275e-05	1.39869e-05	3.97314e-05	5255	100139	-63133961.034	-62104704.213
run43	27444	1896	290601	7.10399e-04	4.99649e-05	1.31813e-05	2.28890e-04	2907	91687	-63116926.058	-62104704.213
run44	8011	28789	511287	1.12098e-04	1.89980e-05	3.24908e-05	9.86958e-07	113704	972081	-63366170.423	-62104704.213
run45	30005	1808	213048	7.13080e-04	8.41974e-05	3.19913e-06	1.95336e-04	2314	92497	-63109382.746	-62104704.213
run46	9513	43112	517664	9.87425e-07	6.68993e-05	1.05533e-05	6.79755e-06	70482	1830363	-63354500.662	-62104704.213
run47	11236	19885	493417	9.56853e-05	1.52208e-05	2.34133e-05	7.21951e-06	174882	1180924	-63349890.017	-62104704.213
run48	24937	3168	412315	5.70076e-04	5.02257e-05	1.78060e-05	9.44801e-05	2667	86408	-63114752.022	-62104704.213
