Run	N_CMC	N_CME	N_CMS	DIV12	DIV02	MaxEstLhood	MaxObsLhood
run1	48991	47910	339491	24955	33269	-64820074.076	-62104704.213
run2	42601	49187	298942	25682	28178	-64821510.506	-62104704.213
run3	39834	47615	275900	25757	27327	-64822251.456	-62104704.213
run4	44776	50986	327535	27130	30444	-64815453.930	-62104704.213
run5	41898	52975	436856	29551	29832	-64824832.474	-62104704.213
run6	42307	49740	327626	26115	27271	-64819489.678	-62104704.213
run7	43866	55133	450561	28593	29148	-64828550.726	-62104704.213
run8	46798	50757	329287	27360	31776	-64817049.255	-62104704.213
run9	41194	51937	365873	27812	28484	-64820820.811	-62104704.213
run10	44321	50829	399879	27080	29765	-64819887.027	-62104704.213
run11	44756	49487	308587	27141	29300	-64820439.621	-62104704.213
run12	47015	58911	434706	31425	31750	-64828530.453	-62104704.213
run13	46415	54789	346264	28511	30295	-64821706.520	-62104704.213
run14	44039	52494	372322	29245	30246	-64822677.527	-62104704.213
run15	45808	53277	333181	28610	29918	-64818277.470	-62104704.213
run16	47930	59416	418709	31815	32431	-64826574.164	-62104704.213
run17	46717	50153	301931	26430	30417	-64819570.386	-62104704.213
run18	45620	56113	365229	29470	30449	-64823055.933	-62104704.213
run19	44049	55118	370308	28606	29905	-64822075.489	-62104704.213
run20	44889	55381	410967	28552	30327	-64820967.577	-62104704.213
run21	42821	52964	295983	27177	27857	-64820800.326	-62104704.213
run22	45795	55580	373045	30554	31522	-64821086.286	-62104704.213
run23	42305	50448	292981	26883	28189	-64820173.885	-62104704.213
run24	46112	58610	424080	31783	32302	-64829948.132	-62104704.213
run25	47527	57265	376258	30162	31573	-64825677.025	-62104704.213
run26	45754	59553	433421	30506	31122	-64829355.966	-62104704.213
run27	46207	54003	379198	31008	31473	-64820479.782	-62104704.213
run28	43532	53649	393452	27560	29018	-64822107.316	-62104704.213
run29	42469	49244	321156	25596	28656	-64818525.721	-62104704.213
run30	42279	46725	349082	25363	27814	-64816601.524	-62104704.213
run31	48698	55221	441306	30336	32686	-64835044.496	-62104704.213
