Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	SURF	HYBR	DIV03	DIV32	MaxEstLhood	MaxObsLhood
run1	20639	4160	473288	5.74760e-04	1.47634e-04	0.7524913	1496	58018	66021	-63106601.382	-62104704.213
run2	21423	6028	467098	2.88603e-04	1.55149e-04	0.5534301	1798	62847	66009	-63115517.835	-62104704.213
run3	489119	1022	487525	0.0016181	4.98249e-04	0.6113135	15545	19161	67137	-64746508.654	-62104704.213
run4	426925	2778	448181	5.62477e-04	2.40122e-04	0.7612511	28424	33349	67128	-64764689.791	-62104704.213
run5	21065	6230	395503	2.02858e-04	1.55649e-04	0.5071129	1755	58877	61377	-63122783.629	-62104704.213
run6	21386	6722	475425	2.67287e-04	1.22037e-04	0.6001897	2179	62890	66568	-63127422.916	-62104704.213
run7	19485	6309	436374	2.44293e-04	1.50479e-04	0.5629093	1864	56617	66173	-63121076.037	-62104704.213
run8	19724	7447	494919	3.24872e-05	1.92241e-04	0.3772262	1738	52923	69504	-63133598.077	-62104704.213
run9	19718	6030	435318	2.61875e-04	1.41098e-04	0.5735055	1977	61329	66341	-63119211.787	-62104704.213
run10	22737	8395	511837	1.18931e-04	1.34997e-04	0.4795294	2213	66522	70078	-63144266.349	-62104704.213
run11	20700	6465	486101	2.04466e-04	1.34113e-04	0.5408958	1964	59807	67766	-63127101.399	-62104704.213
run12	21698	9334	491499	1.49812e-05	1.72687e-04	0.3615719	2104	61487	65442	-63145009.401	-62104704.213
run13	11318	1787	491109	0.0012174	3.79652e-04	0.6769296	640	31087	69792	-63067844.365	-62104704.213
run14	19415	7317	471112	1.53871e-04	1.64091e-04	0.4806346	1989	62579	64753	-63132143.758	-62104704.213
run15	20428	4807	490904	3.58603e-04	1.52661e-04	0.6196590	1613	60848	67647	-63106402.275	-62104704.213
run16	20640	4375	462492	4.88594e-04	1.43624e-04	0.7263444	1597	61033	66988	-63105357.255	-62104704.213
run17	21043	5657	474667	3.50120e-04	1.16545e-04	0.7192083	2149	65663	69997	-63123887.847	-62104704.213
run18	19601	5071	498190	2.85418e-04	1.89168e-04	0.5326765	1430	54779	67939	-63108392.403	-62104704.213
run19	20108	4777	489126	4.02011e-04	1.44126e-04	0.6713444	1705	58749	70765	-63110650.438	-62104704.213
run20	18430	6024	503276	2.05378e-04	1.68438e-04	0.5114826	1702	57014	67850	-63122053.830	-62104704.213
run21	19660	6031	466839	2.28744e-04	1.77762e-04	0.5168433	1686	58016	64916	-63116574.552	-62104704.213
run22	20818	5186	467904	3.37165e-04	1.32370e-04	0.6546949	1811	60131	67944	-63116921.266	-62104704.213
run23	21886	5770	475355	3.43633e-04	1.19969e-04	0.6857257	2025	62191	68310	-63125396.538	-62104704.213
run24	21806	8805	489711	7.79564e-05	1.52662e-04	0.4157471	2176	67852	69241	-63138141.161	-62104704.213
run25	1046	193255	458659	4.66375e-04	0.0014195	0.5668038	7773	17618	72147	-64004973.392	-62104704.213
run26	12745	1867	454020	0.0011872	2.93568e-04	0.7731472	732	34986	74202	-63067206.483	-62104704.213
run27	20577	5138	473194	4.09620e-04	1.26585e-04	0.7089924	1884	61678	67681	-63112434.845	-62104704.213
run28	18535	4319	456446	4.70843e-04	1.61354e-04	0.6741210	1492	54299	62539	-63099686.064	-62104704.213
run29	22269	5616	461785	3.37762e-04	1.33520e-04	0.6188560	1921	62738	68789	-63113632.969	-62104704.213
run30	20359	4381	441800	4.83660e-04	1.47024e-04	0.7164911	1600	60479	63563	-63102425.320	-62104704.213
run31	22385	8156	508095	1.09810e-04	1.40883e-04	0.4604987	2154	65488	71047	-63141796.022	-62104704.213
run32	19805	5014	481164	3.89091e-04	1.47070e-04	0.6482665	1696	57684	67892	-63113218.857	-62104704.213
run33	18907	4124	470885	5.43105e-04	1.56005e-04	0.6902440	1427	52407	69019	-63102786.176	-62104704.213
run34	12987	2025	475722	0.0011885	2.75170e-04	0.7802592	755	33211	72343	-63068986.514	-62104704.213
run35	19544	5240	459384	3.22166e-04	1.52616e-04	0.6107583	1680	55540	65160	-63108289.243	-62104704.213
run36	20755	8254	475082	1.25971e-04	1.46551e-04	0.4594539	2108	64975	68952	-63136152.643	-62104704.213
run37	21796	6931	474087	2.15657e-04	1.35123e-04	0.5715920	2197	62085	65991	-63132164.804	-62104704.213
run38	19680	5522	503065	2.80987e-04	1.57789e-04	0.5740912	1716	59931	69898	-63114455.909	-62104704.213
run39	18488	4044	493924	5.37742e-04	1.70251e-04	0.7039697	1410	56416	67103	-63100215.851	-62104704.213
run40	20051	4686	472420	4.32713e-04	1.43233e-04	0.7098046	1694	57375	69177	-63107264.104	-62104704.213
run41	20107	6571	457157	2.19194e-04	1.59424e-04	0.5175066	1787	60447	65946	-63122721.522	-62104704.213
run42	20691	7070	478819	1.89642e-04	1.44928e-04	0.5082924	2079	65013	66555	-63125035.638	-62104704.213
run43	20863	6498	468047	2.28199e-04	1.46095e-04	0.5523461	1956	63913	66323	-63123590.451	-62104704.213
run44	21739	6249	471952	3.04590e-04	1.21265e-04	0.6471270	2178	65288	68601	-63122040.579	-62104704.213
run45	21301	5056	483573	4.62537e-04	1.28610e-04	0.7677343	1819	65902	67239	-63116467.914	-62104704.213
run46	22925	5895	480453	3.07790e-04	1.33328e-04	0.6179275	1980	63767	67434	-63122147.965	-62104704.213
run47	18469	4680	474454	4.95540e-04	1.53484e-04	0.7079457	1623	55110	71294	-63107028.913	-62104704.213
run48	21535	5414	486118	3.99112e-04	1.37782e-04	0.6587896	1872	62108	67404	-63115792.191	-62104704.213
run49	19189	3340	494039	7.43343e-04	1.56597e-04	0.8251190	1352	52457	68488	-63092337.202	-62104704.213
run50	18498	3731	473943	6.14280e-04	1.57686e-04	0.7805367	1439	58805	66303	-63097444.492	-62104704.213
run51	20369	4208	483458	5.53943e-04	1.38566e-04	0.7787007	1587	58759	72029	-63108060.870	-62104704.213
run52	19774	4247	470324	5.25170e-04	1.43828e-04	0.7550767	1603	57816	69223	-63102059.071	-62104704.213
run53	21667	4811	477294	4.18581e-04	1.44600e-04	0.6862348	1701	66502	67458	-63109325.428	-62104704.213
run54	19791	4972	466055	4.51920e-04	1.51845e-04	0.6945682	1684	60169	70889	-63113036.081	-62104704.213
run55	1122	227722	461461	4.75784e-04	0.0013857	0.5920442	8512	17650	68482	-64005047.112	-62104704.213
run56	20219	6275	463314	9.74041e-05	2.05433e-04	0.4108313	1534	60010	68531	-63123082.044	-62104704.213
run57	20397	5357	485141	4.34264e-04	1.31424e-04	0.7188592	1817	59538	61973	-63115332.767	-62104704.213
run58	415852	1067	441179	0.0017041	6.97860e-04	0.4694061	11063	15505	71310	-64763503.947	-62104704.213
run59	20390	6078	492933	2.07542e-04	1.73029e-04	0.4999482	1707	61835	68464	-63121960.334	-62104704.213
run60	19365	5524	480792	2.63987e-04	1.72876e-04	0.5554299	1623	55374	67293	-63115072.041	-62104704.213
run61	21811	5575	471839	3.39075e-04	1.41594e-04	0.6112118	1772	66993	68316	-63116642.630	-62104704.213
run62	20920	4629	457754	3.96277e-04	1.56308e-04	0.6339478	1562	61066	65884	-63106417.608	-62104704.213
run63	19961	4140	470336	5.30193e-04	1.57594e-04	0.7043332	1485	57243	65499	-63101211.275	-62104704.213
run64	19566	6551	481222	2.22089e-04	1.44464e-04	0.5623875	1980	55207	65637	-63120505.113	-62104704.213
run65	19167	4745	500148	4.70727e-04	1.56941e-04	0.6863503	1586	54338	62616	-63106055.589	-62104704.213
run66	20566	5509	474766	3.05359e-04	1.64891e-04	0.5605842	1636	63603	67479	-63116638.195	-62104704.213
run67	21288	7123	455515	2.19473e-04	1.37137e-04	0.5400889	2112	63389	65556	-63128029.032	-62104704.213
run68	21508	4815	489937	4.17865e-04	1.40317e-04	0.6977033	1771	60383	68347	-63116484.253	-62104704.213
run69	20053	7439	467388	1.12328e-04	1.59196e-04	0.4506551	2045	59195	63382	-63132023.231	-62104704.213
run70	18771	5510	457087	3.26116e-04	1.80048e-04	0.5720221	1650	58397	66652	-63112353.676	-62104704.213
run71	20079	6413	497989	1.23455e-04	1.89176e-04	0.4417178	1625	62060	65092	-63125629.205	-62104704.213
run72	17835	6070	495240	2.57561e-04	1.83207e-04	0.5084473	1652	49694	69366	-63115452.585	-62104704.213
run73	20384	5754	457251	3.05601e-04	1.71468e-04	0.5425043	1676	61112	67908	-63115645.393	-62104704.213
run74	22658	7652	491335	1.60941e-04	1.47375e-04	0.4941370	2187	69456	71722	-63135571.441	-62104704.213
run75	19209	3826	465778	5.84914e-04	1.79422e-04	0.7228212	1391	57232	65023	-63097644.484	-62104704.213
run76	18277	4351	473025	4.80937e-04	1.64095e-04	0.6865277	1489	50861	63990	-63099548.410	-62104704.213
run77	22201	5110	451777	4.20774e-04	1.25838e-04	0.7142272	1848	63115	66497	-63109786.048	-62104704.213
run78	19770	5224	443662	3.55060e-04	1.49712e-04	0.6420311	1783	58925	65422	-63111463.750	-62104704.213
run79	22174	4673	475653	4.47119e-04	1.33187e-04	0.7175111	1748	65096	68952	-63107575.276	-62104704.213
run80	20655	5240	458236	3.85185e-04	1.20794e-04	0.7205591	1959	58016	69039	-63117270.438	-62104704.213
run81	432645	4348	412379	3.92874e-04	2.08266e-04	0.4341511	34546	41777	56348	-64794874.610	-62104704.213
run82	21118	5156	458459	4.13717e-04	1.29652e-04	0.6980632	1820	63472	64499	-63112479.811	-62104704.213
run83	20017	6373	497069	2.43974e-04	1.60673e-04	0.5319321	1796	58010	65339	-63121113.566	-62104704.213
run84	20883	4194	483863	4.94825e-04	1.58148e-04	0.6855746	1499	60523	67197	-63105557.609	-62104704.213
run85	19858	7434	490434	1.92011e-04	1.46406e-04	0.5143873	2116	62719	64147	-63133375.379	-62104704.213
run86	20840	4208	479865	4.80688e-04	1.46014e-04	0.7236888	1565	57845	66260	-63101755.458	-62104704.213
run87	21366	5556	459910	3.49258e-04	1.45142e-04	0.6201212	1756	63178	68421	-63115277.965	-62104704.213
run88	22092	8698	507703	1.34971e-04	1.29044e-04	0.4909124	2445	64296	67032	-63147819.684	-62104704.213
run89	20170	5178	455567	3.85155e-04	1.35193e-04	0.7000237	1803	59557	65595	-63114968.288	-62104704.213
run90	21249	7982	452722	7.98606e-05	1.63119e-04	0.4248960	2005	61229	68400	-63134590.089	-62104704.213
run91	20369	7161	463201	1.69930e-04	1.42402e-04	0.5040494	2066	60864	63600	-63125233.577	-62104704.213
run92	16944	4190	472087	4.45671e-04	1.96887e-04	0.6045276	1370	48912	69833	-63095078.841	-62104704.213
run93	20825	5648	474947	3.01730e-04	1.49959e-04	0.5795607	1759	57813	70396	-63114970.656	-62104704.213
run94	22813	6037	486271	3.31769e-04	1.04098e-04	0.6960454	2149	63727	66246	-63131259.576	-62104704.213
run95	17317	3346	485330	6.87024e-04	1.79324e-04	0.7990686	1317	52106	70010	-63089368.464	-62104704.213
run96	21044	6936	475145	1.73758e-04	1.52657e-04	0.4860003	1953	60993	66938	-63124918.713	-62104704.213
run97	21545	5286	481659	3.79373e-04	1.40259e-04	0.6444222	1804	64251	69097	-63109603.361	-62104704.213
run98	20997	4931	480887	4.20912e-04	1.39574e-04	0.7113600	1763	67400	70124	-63113210.137	-62104704.213
run99	21809	8505	472122	1.18084e-04	1.44309e-04	0.4568536	2219	63095	67413	-63141039.576	-62104704.213
run100	20623	5458	473949	3.70882e-04	1.45565e-04	0.6627055	1891	63243	69481	-63117630.600	-62104704.213
