Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_G2C	MIG_G2E	SURF	HYBR	DIV03	DIV32	MaxEstLhood	MaxObsLhood
run1	17608	4033	487147	2.19765e-04	1.04158e-04	2.76416e-05	8.99567e-05	0.3797217	1933	51596	64289	-62997161.850	-62104704.213
run2	17538	3327	485283	2.99461e-04	1.02113e-04	2.43554e-05	1.06167e-04	0.4450474	1992	52357	62797	-62991020.356	-62104704.213
run3	11186	1759	471602	6.20893e-04	2.01701e-04	3.90714e-05	2.09202e-04	0.4656400	1119	32554	69371	-62961151.507	-62104704.213
run4	12122	2129	468126	6.95144e-04	1.41917e-04	3.39286e-05	1.41177e-04	0.6432428	1377	37221	65886	-62968051.033	-62104704.213
run5	1097	8398	501018	7.38714e-04	1.98230e-04	2.35269e-04	5.93468e-06	0.3100940	5352	7947	71269	-63386708.504	-62104704.213
run6	2258	15371	465228	9.17546e-05	1.11503e-04	1.45375e-04	8.36548e-06	0.1043391	1288	3763	71004	-63364377.985	-62104704.213
run7	12590	2770	449546	4.10495e-04	9.54584e-05	4.39135e-05	1.23221e-04	0.4793261	1724	39985	65611	-62979119.446	-62104704.213
run8	1110	7814	477098	6.63398e-04	2.39180e-04	2.28950e-04	1.47629e-05	0.1426472	4938	12173	71505	-63383381.033	-62104704.213
run9	11310	2151	470446	5.32696e-04	1.75472e-04	3.48870e-05	1.74649e-04	0.4897666	1340	35385	66373	-62965776.651	-62104704.213
run10	11932	1858	474728	7.05693e-04	1.69399e-04	3.26871e-05	1.94516e-04	0.5771633	1260	36088	65188	-62964997.602	-62104704.213
run11	8808	1267	517383	0.0011492	2.02953e-04	4.43552e-05	2.56308e-04	0.7158515	925	25006	68641	-62953285.316	-62104704.213
run12	13841	2604	488567	5.41462e-04	1.26755e-04	3.23931e-05	1.19136e-04	0.5442403	1420	40164	65277	-62974827.556	-62104704.213
run13	15629	1769	482701	8.31725e-04	1.36692e-04	2.37570e-05	2.08178e-04	0.7168609	1414	46594	64057	-62973368.474	-62104704.213
run14	1550	5466	443597	6.63811e-04	1.19466e-04	1.69527e-04	3.54012e-05	0.7800108	27879	32870	70086	-63379598.362	-62104704.213
run15	9510	1126	487702	0.0012377	1.97279e-04	4.22011e-05	3.41817e-04	0.7028094	939	26016	67090	-62951667.813	-62104704.213
run16	14543	3879	453271	2.12939e-04	1.14374e-04	2.94475e-05	8.04767e-05	0.3992478	1838	45185	65439	-62987558.670	-62104704.213
run17	14832	2036	483350	6.34181e-04	1.19430e-04	2.86933e-05	1.69675e-04	0.6107752	1525	41250	65671	-62968938.043	-62104704.213
run18	11666	2862	471087	3.72399e-04	1.03163e-04	4.69946e-05	1.20617e-04	0.4718611	1468	33056	67409	-62977775.734	-62104704.213
run19	14405	3327	473747	3.46762e-04	1.01042e-04	3.22921e-05	1.00790e-04	0.4858619	1829	41249	66576	-62983353.638	-62104704.213
run20	9535	1822	455243	7.54605e-04	1.79720e-04	4.45331e-05	1.71052e-04	0.5612123	1071	26756	68902	-62958753.696	-62104704.213
run21	12782	2664	475798	3.72235e-04	1.61540e-04	3.61024e-05	1.36180e-04	0.3909962	1359	35321	69707	-62971705.111	-62104704.213
run22	8572	1111	473206	0.0011967	2.07954e-04	5.30421e-05	3.14422e-04	0.6607766	846	22773	65630	-62949012.918	-62104704.213
run23	9064	1508	461435	0.0010114	1.69362e-04	4.68959e-05	2.00639e-04	0.6646071	993	24790	69238	-62957516.229	-62104704.213
run24	13923	3389	465654	3.43341e-04	1.07652e-04	3.60214e-05	9.93390e-05	0.4370687	1747	43803	67893	-62983603.357	-62104704.213
run25	3836	1020	477648	0.0011986	2.77172e-04	1.16175e-04	3.48069e-04	0.6199746	754	56410	65171	-62984489.918	-62104704.213
run26	1062	6387	472086	6.54351e-04	2.53849e-04	2.34924e-04	2.49789e-05	0.1999835	4421	9740	71870	-63379326.371	-62104704.213
run27	8515	1142	490786	0.0011921	2.34490e-04	4.41435e-05	2.82351e-04	0.6538201	862	23930	69738	-62950635.670	-62104704.213
run28	10678	1354	453695	9.17913e-04	1.78599e-04	4.14592e-05	2.57841e-04	0.6379566	1086	30730	66839	-62955935.119	-62104704.213
run29	4692	1354	448604	0.0010434	1.65588e-04	1.00777e-04	2.28576e-04	0.7218256	996	60045	67486	-62987840.380	-62104704.213
run30	8168	2327	482606	4.20204e-04	1.92279e-04	5.31068e-05	1.41356e-04	0.4132450	1086	22794	67692	-62969111.201	-62104704.213
run31	14401	2701	462233	3.48948e-04	1.40384e-04	3.48645e-05	1.47064e-04	0.3973908	1582	43927	67712	-62981132.234	-62104704.213
