Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_S2C	MIG_S2E	MIG_G2C	MIG_G2E	SURF	HYBR	DIV03	DIV32	MaxEstLhood	MaxObsLhood
run1	5998	4088	334829	4.26162e-04	3.42621e-05	3.22703e-05	5.58179e-05	3.83676e-06	8.38722e-06	0.3484203	140861	161848	519376	-63168313.759	-62104704.213
run2	6239	3940	331151	4.05551e-04	4.14360e-05	2.81453e-05	5.79523e-05	3.42838e-06	6.95240e-06	0.4444030	143342	431878	611709	-63169483.686	-62104704.213
run3	1081	1816	341601	0.0012693	2.61284e-04	1.44333e-04	1.15830e-04	3.02630e-05	1.51089e-05	0.4963967	76018	163501	536220	-63165318.700	-62104704.213
run4	3538	1682	352805	9.30725e-04	6.91232e-05	5.20839e-05	1.47316e-04	8.63110e-06	2.07951e-05	0.3776392	101699	182664	486832	-63162421.124	-62104704.213
run5	1167	2229	355851	0.0010401	2.34364e-04	1.31805e-04	9.34358e-05	3.13403e-05	1.29850e-05	0.5615589	58857	178823	480308	-63165005.768	-62104704.213
run6	6313	3831	333033	4.29676e-04	3.91818e-05	3.00262e-05	6.14979e-05	3.38267e-06	6.99799e-06	0.3417671	157661	323554	602956	-63166150.386	-62104704.213
run7	1574	1713	344533	0.0011606	1.47591e-04	1.14613e-04	1.25666e-04	1.66910e-05	1.74009e-05	0.6207968	64433	173386	627976	-63166133.927	-62104704.213
run8	2387	1788	339642	9.99127e-04	1.05550e-04	7.20948e-05	1.32030e-04	1.13719e-05	1.57297e-05	0.3381935	79621	120576	599939	-63163239.805	-62104704.213
run9	2016	5787	344939	4.58973e-04	1.48487e-04	8.09109e-05	3.11157e-05	1.38731e-05	2.08101e-06	0.7836405	74410	115242	603868	-63173880.172	-62104704.213
run10	1066	11663	335789	3.92732e-07	8.19561e-04	5.36497e-05	2.84740e-05	2.75547e-05	1.98172e-06	0.6573644	156505	568480	590409	-63248944.832	-62104704.213
run11	6092	1946	324362	7.94722e-04	3.41744e-05	3.14521e-05	1.31560e-04	3.47394e-06	1.57597e-05	0.8574919	161832	426463	602152	-63163333.782	-62104704.213
run12	1702	6032	343042	5.64656e-04	1.72095e-04	1.03454e-04	2.19418e-05	1.72878e-05	1.45088e-06	0.5510540	69867	109069	554772	-63173282.940	-62104704.213
run13	1182	1282	352589	0.0014566	1.89035e-04	1.40962e-04	1.78701e-04	2.78710e-05	2.45602e-05	0.8203883	71090	255966	524013	-63164195.170	-62104704.213
run14	4013	8624	338603	3.14622e-04	5.24137e-05	4.57687e-05	2.01245e-05	6.90249e-06	2.53316e-06	0.1533024	129173	369158	526606	-63172984.772	-62104704.213
run15	5330	8592	340547	2.76327e-04	4.92370e-05	3.70790e-05	2.06094e-05	4.12414e-06	1.99277e-06	0.6662149	172016	396584	613033	-63178918.982	-62104704.213
run16	1381	1368	351941	0.0013153	1.97777e-04	1.16335e-04	1.73592e-04	2.16800e-05	1.91015e-05	0.2474769	91711	145736	579075	-63160930.149	-62104704.213
run17	2236	3056	346553	7.14746e-04	1.26890e-04	7.31381e-05	7.01176e-05	1.36427e-05	1.18713e-05	0.2485632	88936	218551	482204	-63162205.383	-62104704.213
