Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_S2C	MIG_S2E	SURF	HYBR	DIV03	DIV32	MaxEstLhood	MaxObsLhood
run1	4855	26037	447384	1.72446e-04	3.91009e-05	5.11074e-05	3.08175e-07	0.7768208	24325	68269	175422	-63453281.284	-62104704.213
run2	6041	26517	435767	1.40206e-04	4.06129e-05	4.15657e-05	1.13948e-06	0.4644375	34532	39350	162190	-63451288.195	-62104704.213
run3	3340	20397	451883	2.56518e-04	7.11408e-05	7.37652e-05	2.03745e-07	0.7872784	20359	47899	199095	-63456471.345	-62104704.213
run4	4370	23247	429461	1.76049e-04	5.05027e-05	5.20744e-05	8.18991e-07	0.8834925	32829	58621	225471	-63455905.501	-62104704.213
run5	3726	15921	446569	2.24439e-04	6.11466e-05	6.73313e-05	6.04556e-06	0.8294153	20549	31802	191190	-63455578.281	-62104704.213
run6	4301	23580	463043	1.88647e-04	4.74564e-05	5.66332e-05	2.20956e-07	0.5765025	22616	93073	164842	-63452248.829	-62104704.213
run7	13780	1685	470255	9.89733e-04	1.40788e-04	1.46975e-05	1.53110e-04	0.9343233	1283	40106	93539	-62956509.534	-62104704.213
run8	16834	1962	487977	7.72566e-04	1.49130e-04	1.57536e-05	1.26886e-04	0.7389428	1341	47776	93664	-62963280.196	-62104704.213
run9	3506	16833	447350	2.28842e-04	6.49093e-05	6.62085e-05	3.70038e-06	0.5295374	20363	24370	191751	-63454869.561	-62104704.213
run10	20062	6297	455595	1.64536e-04	7.80349e-05	1.44232e-05	4.48815e-05	0.4419024	3049	65733	94665	-63013824.078	-62104704.213
run11	13873	1260	472927	0.0011925	1.94459e-04	1.70206e-05	2.39940e-04	0.7733024	1011	37186	99057	-62951359.539	-62104704.213
run12	19251	5588	471714	2.47266e-04	7.46211e-05	1.44389e-05	4.78273e-05	0.5681347	3050	66338	89142	-63011257.762	-62104704.213
run13	14807	1720	461525	0.0010062	1.42353e-04	1.67174e-05	1.72891e-04	0.8704060	1270	41122	92579	-62954531.804	-62104704.213
run14	3870	22517	478839	2.28129e-04	5.58873e-05	6.20171e-05	9.81809e-08	0.6438231	17341	54962	155072	-63453333.282	-62104704.213
run15	4467	22480	451974	1.98420e-04	5.22259e-05	5.74274e-05	1.74876e-06	0.7333420	22416	57337	184794	-63453548.548	-62104704.213
run16	19968	5752	493634	2.08575e-04	6.57295e-05	1.63755e-05	4.86203e-05	0.5488742	3335	86044	91626	-63020353.183	-62104704.213
run17	19492	3993	463874	3.34239e-04	9.87015e-05	1.49807e-05	7.09437e-05	0.5573523	2402	69344	98821	-62993414.131	-62104704.213
run18	18087	2819	471660	4.82198e-04	1.00294e-04	1.76236e-05	1.03030e-04	0.6824270	1902	57050	97243	-62975227.379	-62104704.213
run19	4441	22508	493433	1.81566e-04	4.14910e-05	5.52736e-05	9.43046e-07	0.7530975	18848	39397	153285	-63451857.826	-62104704.213
run20	4348	23571	482648	1.80884e-04	7.06555e-05	5.62580e-05	1.31697e-06	0.6221670	18363	129738	147816	-63451605.736	-62104704.213
run21	20818	3091	478813	4.79800e-04	8.09405e-05	1.62824e-05	1.04945e-04	0.6921857	2246	61757	96816	-62987396.970	-62104704.213
run22	19631	4999	445057	1.75288e-04	1.01242e-04	1.65113e-05	4.98487e-05	0.4576870	2345	58855	91441	-63001625.270	-62104704.213
run23	18743	5161	463383	1.92306e-04	9.06750e-05	1.45283e-05	5.81075e-05	0.4913633	2724	71819	98897	-63007476.486	-62104704.213
run24	12062	23349	424348	1.10838e-04	1.43664e-05	2.04294e-05	7.66669e-06	0.7579482	72966	139412	184555	-63457967.625	-62104704.213
run25	3449	15401	390424	2.74824e-04	7.24141e-05	7.09409e-05	4.12302e-07	0.7843094	29602	258061	308982	-63481059.281	-62104704.213
run26	2346	15313	474876	2.98091e-04	1.08552e-04	1.00206e-04	3.05754e-07	0.8266824	12976	147554	174644	-63460327.591	-62104704.213
run27	3571	19901	466574	2.34403e-04	6.26621e-05	7.02617e-05	2.40628e-07	0.6674497	22048	60071	176721	-63454115.866	-62104704.213
run28	19754	3337	468130	3.83680e-04	9.82216e-05	1.50658e-05	8.29630e-05	0.6094265	2098	66622	96657	-62984482.872	-62104704.213
run29	7688	18052	332818	1.74579e-06	9.09088e-05	1.07193e-05	2.18576e-05	0.4091996	104520	193998	587908	-63602214.915	-62104704.213
run30	19299	3684	451478	3.56728e-04	7.78068e-05	1.62068e-05	8.31738e-05	0.6140168	2414	60811	96106	-62991872.653	-62104704.213
run31	14246	1795	461168	9.24851e-04	1.61361e-04	1.70807e-05	1.51372e-04	0.7688543	1184	38711	89687	-62958696.692	-62104704.213
run32	6247	25606	448032	1.79374e-04	2.34603e-05	4.27088e-05	1.54337e-07	0.7531214	26881	42976	171213	-63455268.475	-62104704.213
run33	17934	2488	462888	6.41756e-04	1.06148e-04	1.42941e-05	1.04740e-04	0.7819638	1845	59046	92775	-62971899.333	-62104704.213
run34	5531	25714	340736	1.74148e-04	3.17304e-05	4.70367e-05	2.86189e-07	0.7602351	63750	465654	587688	-63484748.228	-62104704.213
run35	1461	14079	494920	4.79326e-04	1.65379e-04	1.49601e-04	6.19216e-07	0.2525112	8929	10249	173944	-63463607.775	-62104704.213
run36	22427	6786	471288	1.95521e-04	5.39632e-05	1.54274e-05	3.16305e-05	0.5750024	3538	75090	88928	-63026105.358	-62104704.213
run37	19075	2926	459307	4.99963e-04	8.35240e-05	1.40211e-05	8.59011e-05	0.8233371	2182	58467	90480	-62981849.759	-62104704.213
run38	3719	18654	455832	2.31781e-04	5.73032e-05	6.50882e-05	2.69090e-06	0.8783712	19479	31982	194070	-63451408.489	-62104704.213
run39	2549	17214	486805	2.75597e-04	1.01883e-04	8.32899e-05	2.13527e-06	0.7923650	14061	30918	176690	-63456743.512	-62104704.213
run40	6721	31324	427554	1.29571e-04	2.64783e-05	3.63657e-05	9.29574e-07	0.8088768	47651	58141	197635	-63452378.780	-62104704.213
run41	13030	30645	487647	7.45472e-05	1.46659e-05	2.06468e-05	6.91326e-07	0.7353254	12663	51380	84611	-63431728.582	-62104704.213
run42	20461	4403	435373	3.32101e-04	7.90017e-05	1.68554e-05	5.51496e-05	0.6263996	2359	65677	85413	-62995960.649	-62104704.213
run43	18834	3647	485622	3.83519e-04	8.52964e-05	1.93920e-05	8.04228e-05	0.6069418	2228	63088	95066	-62988227.694	-62104704.213
run44	4163	22414	458867	2.13189e-04	4.71040e-05	6.31116e-05	1.54905e-07	0.7226707	19861	121328	158717	-63449095.251	-62104704.213
run45	3313	20113	477330	2.35463e-04	8.48671e-05	7.19658e-05	1.56869e-07	0.4372210	14619	21996	153763	-63455233.626	-62104704.213
run46	20157	6458	453413	1.34098e-04	8.29322e-05	1.36923e-05	4.42422e-05	0.4512658	3154	75327	95674	-63017761.842	-62104704.213
run47	16963	1699	483525	9.00599e-04	1.53228e-04	8.79908e-06	1.91274e-04	0.8423867	1408	52143	93484	-62965096.163	-62104704.213
run48	13302	1518	464986	0.0010333	1.42444e-04	1.86666e-05	1.82702e-04	0.9156674	1216	36573	101401	-62952561.939	-62104704.213
run49	20428	5496	454904	2.15186e-04	7.47227e-05	1.80083e-05	4.77382e-05	0.5176360	2752	66255	87485	-63009234.872	-62104704.213
run50	17930	2233	462049	7.03358e-04	9.54859e-05	1.68457e-05	1.28087e-04	0.8913298	1854	56557	97430	-62968597.595	-62104704.213
run51	18575	4003	447988	3.41250e-04	9.69157e-05	1.51562e-05	6.69180e-05	0.5894757	2305	60354	87019	-62988466.832	-62104704.213
run52	8356	23000	447535	1.31085e-04	1.62288e-05	3.15550e-05	4.32941e-06	0.6687799	39413	47009	182585	-63453956.254	-62104704.213
run53	15359	3272	482145	3.94542e-04	1.27846e-04	1.82361e-05	7.90451e-05	0.5495340	1682	42765	92325	-62975772.629	-62104704.213
run54	3115	18298	468552	2.71911e-04	5.86090e-05	8.12220e-05	4.82754e-07	0.5884729	12786	25569	167430	-63456746.828	-62104704.213
run55	18376	4857	466702	2.67521e-04	1.02464e-04	1.56743e-05	5.39393e-05	0.5103117	2231	55725	84241	-62997333.655	-62104704.213
run56	18896	2500	453125	7.01170e-04	1.14434e-04	1.21494e-05	1.16338e-04	0.8109314	1787	59403	89920	-62976457.640	-62104704.213
run57	2170	13835	468369	3.58583e-04	7.98856e-05	1.19768e-04	3.73698e-07	0.5700309	11053	39473	178579	-63460109.007	-62104704.213
run58	4627	24183	476062	1.79369e-04	5.98789e-05	5.41238e-05	1.33249e-07	0.6624717	19506	57944	146410	-63453665.933	-62104704.213
run59	3687	18688	446829	2.37532e-04	6.17342e-05	6.74003e-05	1.12556e-07	0.8607047	21254	172792	191887	-63452543.961	-62104704.213
run60	17089	3879	454716	3.41529e-04	9.91799e-05	1.74575e-05	6.42138e-05	0.5787582	2125	53881	96030	-62983458.420	-62104704.213
run61	2369	16170	489347	3.21099e-04	9.91304e-05	9.28113e-05	5.12230e-08	0.8711738	11376	32239	163193	-63459253.269	-62104704.213
run62	4277	18059	491684	1.88413e-04	5.42542e-05	5.40511e-05	5.94970e-06	0.7342540	23292	36725	176157	-63451659.592	-62104704.213
run63	16362	21435	494648	8.57629e-05	1.11441e-05	1.84399e-05	7.82212e-06	0.8017305	10485	70400	81688	-63327623.499	-62104704.213
run64	20054	5436	472508	2.27127e-04	8.01170e-05	1.59231e-05	4.77360e-05	0.5398994	2892	78151	95754	-63011446.858	-62104704.213
run65	5034	21667	480250	1.98462e-04	4.62758e-05	5.25912e-05	1.13461e-07	0.1679837	21756	25652	158170	-63454011.434	-62104704.213
run66	18681	4575	473791	2.99304e-04	1.00865e-04	1.51562e-05	6.55772e-05	0.5515311	2388	61164	88900	-62997227.650	-62104704.213
run67	19658	4753	457850	2.78617e-04	7.26826e-05	1.82419e-05	5.72795e-05	0.5841298	2752	66959	93863	-63001755.990	-62104704.213
run68	3636	21755	447049	2.23342e-04	6.88195e-05	6.54813e-05	4.05839e-08	0.9006394	23399	39632	192933	-63451501.693	-62104704.213
run69	19418	2708	488664	5.11917e-04	1.02733e-04	1.50185e-05	9.74262e-05	0.7098766	1836	57732	89596	-62979192.977	-62104704.213
run70	23382	9369	430771	1.17103e-04	4.25307e-05	1.17728e-05	2.84715e-05	0.5513024	5001	87152	96833	-63061765.847	-62104704.213
run71	19581	2863	447625	5.70639e-04	7.73497e-05	1.67844e-05	7.79525e-05	0.9124922	2044	61530	92892	-62984209.852	-62104704.213
run72	2095	12620	477165	4.05225e-04	1.12073e-04	1.16439e-04	4.58357e-07	0.9176349	11605	23724	191775	-63460348.870	-62104704.213
run73	2275	14418	480401	3.46458e-04	1.14117e-04	1.09870e-04	3.88005e-07	0.6192546	13601	27265	187594	-63459609.374	-62104704.213
run74	1644	13466	517817	4.13074e-04	1.67088e-04	1.43797e-04	3.81153e-07	0.4826375	6303	13848	144144	-63461605.828	-62104704.213
run75	10667	1434	452336	0.0010521	2.25938e-04	2.04653e-05	1.94214e-04	0.7089516	945	30317	98250	-62949032.645	-62104704.213
run76	19626	3230	444834	5.17745e-04	8.47200e-05	1.45833e-05	7.77279e-05	0.7768633	2169	59902	95311	-62980433.219	-62104704.213
run77	9184	35833	440988	1.12587e-04	1.86878e-05	2.79874e-05	4.19822e-07	0.3504837	58868	174134	185575	-63467978.595	-62104704.213
run78	19822	5593	494912	2.29894e-04	9.34763e-05	1.57339e-05	4.24200e-05	0.4867092	2502	64106	94101	-63007827.544	-62104704.213
run79	4210	21428	468425	2.36252e-04	4.48463e-05	6.20413e-05	1.26935e-07	0.6713338	17504	31842	170811	-63451991.733	-62104704.213
run80	14801	1898	486979	8.22493e-04	1.41206e-04	1.55985e-05	1.39842e-04	0.7884796	1373	43052	96730	-62960903.173	-62104704.213
run81	4732	25425	479040	1.86247e-04	4.43465e-05	5.36057e-05	2.93896e-07	0.2512630	22357	27095	162520	-63452161.511	-62104704.213
run82	19121	5398	478009	2.22444e-04	8.79617e-05	1.41123e-05	5.18776e-05	0.5118284	2781	69423	83851	-63011429.081	-62104704.213
run83	3253	19451	466971	2.29930e-04	6.18352e-05	7.60931e-05	1.14367e-06	0.8069357	18606	65725	169176	-63454297.794	-62104704.213
run84	2310	18198	465320	2.75692e-04	1.19448e-04	9.36260e-05	7.95496e-07	0.7827466	14666	33742	179343	-63460648.082	-62104704.213
run85	22678	6668	464501	1.85750e-04	4.54537e-05	1.23862e-05	3.73726e-05	0.5942203	3975	77329	95454	-63035408.038	-62104704.213
run86	4143	22705	456898	2.00611e-04	5.31451e-05	5.54568e-05	3.07965e-08	0.8553550	22164	29645	172008	-63451084.539	-62104704.213
run87	2272	14811	372722	3.31769e-04	1.04292e-04	1.03933e-04	9.13870e-08	0.2236346	26634	195391	410787	-63490430.863	-62104704.213
run88	12703	1570	482038	0.0010456	1.54387e-04	2.05453e-05	1.68734e-04	0.8806326	1195	38296	92906	-62953465.776	-62104704.213
run89	2788	18904	477690	2.66885e-04	8.52540e-05	8.86798e-05	2.64396e-07	0.3828639	15388	20061	161544	-63456803.858	-62104704.213
run90	19675	2962	447798	4.86844e-04	7.97753e-05	1.74360e-05	1.01495e-04	0.7152346	2201	62557	101699	-62979496.509	-62104704.213
run91	13332	1742	479510	9.55845e-04	1.62807e-04	1.83311e-05	1.72687e-04	0.7896527	1200	38573	92894	-62953539.119	-62104704.213
run92	5740	21259	464442	1.44788e-04	3.11054e-05	4.13656e-05	4.74730e-06	0.6870384	27878	71715	170699	-63452292.969	-62104704.213
run93	4093	23359	434756	1.91130e-04	6.20813e-05	5.48220e-05	2.08687e-07	0.8664170	34528	59248	234643	-63456028.816	-62104704.213
run94	16852	2205	438189	7.22393e-04	1.26760e-04	1.34536e-05	1.24459e-04	0.7927501	1549	50022	95267	-62963532.171	-62104704.213
run95	9216	1115	438099	0.0014887	2.54013e-04	1.98843e-05	2.35451e-04	0.8248229	781	25336	100123	-62944791.295	-62104704.213
run96	6955	30334	446149	1.44279e-04	2.71196e-05	3.55848e-05	5.05394e-07	0.7168880	32310	76336	162531	-63453387.938	-62104704.213
run97	5521	16702	345727	6.10266e-07	1.05474e-04	1.77886e-05	2.29271e-05	0.4358455	91670	242589	524310	-63602547.689	-62104704.213
