Run	N_CMC	N_CME	N_CMS	SURF	HYBR	DIV03	DIV32	MaxEstLhood	MaxObsLhood
run1	46360	27363	468822	0.1489151	4875	38187	59317	-64170196.493	-62104704.213
run2	41623	23964	463898	0.1450898	4439	33490	63995	-64169545.108	-62104704.213
run3	53612	23673	475052	0.1701678	4811	41927	60525	-64181438.363	-62104704.213
run4	50093	22887	463354	0.1689400	4460	41816	57179	-64168900.644	-62104704.213
run5	54186	18705	451902	0.1738264	3439	47612	59495	-64174250.074	-62104704.213
run6	47057	21916	434385	0.1537197	3892	39010	60023	-64171042.719	-62104704.213
run7	44806	22114	488072	0.1557696	4266	35341	59244	-64169631.548	-62104704.213
run8	47008	21034	471893	0.1708704	4263	39061	60447	-64167860.566	-62104704.213
run9	44892	20109	409375	0.1674797	3916	36405	64653	-64165893.343	-62104704.213
run10	50154	23890	449635	0.1491648	4416	42251	59333	-64170174.203	-62104704.213
run11	47715	24699	437366	0.1631567	4492	40675	58144	-64172787.813	-62104704.213
run12	46523	21379	432171	0.1668607	4342	37278	64074	-64165219.262	-62104704.213
run13	52498	20381	472991	0.1710811	3996	44380	61728	-64170355.286	-62104704.213
run14	48034	22283	475916	0.1607382	4232	40465	63585	-64173103.547	-62104704.213
run15	50415	25420	429275	0.1567636	4767	41099	59333	-64170490.061	-62104704.213
run16	44067	22310	451237	0.1551337	4086	36411	57131	-64169668.126	-62104704.213
run17	50728	24275	498485	0.1694528	4417	42366	61034	-64172805.197	-62104704.213
run18	46440	21588	479050	0.1690324	4262	36353	61968	-64166812.740	-62104704.213
run19	49917	22149	487143	0.1561847	4196	41933	61912	-64172041.985	-62104704.213
run20	51556	27997	467988	0.1528485	5422	43616	62239	-64177941.507	-62104704.213
run21	45081	24738	479089	0.1553332	4675	36230	61824	-64172431.225	-62104704.213
run22	50253	26604	463898	0.1614370	5068	42300	64513	-64179236.121	-62104704.213
run23	43571	25797	471223	0.1507527	4427	34468	66960	-64167025.106	-62104704.213
run24	44005	25744	466353	0.1443087	4784	35546	63631	-64168946.194	-62104704.213
run25	47315	24283	467626	0.1662261	4350	37575	59468	-64168172.343	-62104704.213
run26	45739	21961	483972	0.1568685	4254	38912	63988	-64170576.144	-62104704.213
run27	41037	19881	456536	0.1674342	3775	33832	59645	-64166311.793	-62104704.213
run28	49383	26749	413926	0.1474626	4768	41336	59106	-64168804.930	-62104704.213
run29	45987	23988	480865	0.1445696	4157	38241	61373	-64170549.976	-62104704.213
run30	53811	28835	465880	0.1630581	5422	43819	58695	-64179950.606	-62104704.213
run31	50173	32485	479473	0.1453804	5786	40879	60984	-64181637.493	-62104704.213
run32	44509	20490	455715	0.1478015	3864	35217	62701	-64169257.209	-62104704.213
run33	46688	24935	514097	0.1458316	4205	38803	63851	-64171631.967	-62104704.213
run34	48417	32298	362296	0.1143745	5242	40012	54963	-64189375.827	-62104704.213
run35	55103	23332	417895	0.1588923	4293	46234	54861	-64170412.321	-62104704.213
run36	46978	20742	458707	0.1745228	4112	40072	59634	-64170163.716	-62104704.213
run37	45208	21167	454557	0.1569015	3815	38430	59924	-64168043.565	-62104704.213
run38	44346	22149	446770	0.1611447	3884	37600	59890	-64166629.950	-62104704.213
run39	46621	22102	435444	0.1482223	3618	39023	60428	-64167306.133	-62104704.213
run40	46279	21342	469644	0.1716908	3889	37686	58877	-64167874.931	-62104704.213
run41	44989	20568	483914	0.1730628	3951	36474	61216	-64164338.587	-62104704.213
run42	49203	21049	441273	0.1622069	3904	39242	59738	-64165942.150	-62104704.213
run43	47160	20776	476820	0.1530848	3878	37909	61201	-64168068.405	-62104704.213
run44	46735	19972	466153	0.1769192	3958	38128	60919	-64168820.323	-62104704.213
run45	45718	27534	492973	0.1435146	4778	37384	62781	-64176320.367	-62104704.213
run46	45080	21676	482844	0.1471099	3831	37079	59439	-64168924.255	-62104704.213
run47	49926	24222	487007	0.1470928	4358	41580	65060	-64169977.420	-62104704.213
run48	45926	21995	459981	0.1550592	3896	38255	56801	-64166863.011	-62104704.213
run49	43211	16251	488104	0.1677772	3232	33515	62995	-64166832.243	-62104704.213
