Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	DIV13	DIV03	DIV32	MaxEstLhood	MaxObsLhood
run1	22350	3934	459976	6.33132e-04	1.10196e-04	1799	63722	64930	-63102834.694	-62104704.213
run2	19874	3629	476454	7.28836e-04	1.30591e-04	1584	60190	67063	-63094594.519	-62104704.213
run3	20308	2952	483647	8.43196e-04	1.31410e-04	1406	60144	68108	-63089445.196	-62104704.213
run4	22858	5026	498052	5.14392e-04	9.21707e-05	2260	64670	70559	-63119868.653	-62104704.213
run5	21126	3893	477150	6.31628e-04	1.07264e-04	1766	64226	66524	-63102581.870	-62104704.213
run6	19047	3418	482909	7.34707e-04	1.30166e-04	1588	58659	68299	-63094534.530	-62104704.213
run7	22232	4091	468665	6.07267e-04	1.00464e-04	1835	62346	69197	-63107346.907	-62104704.213
run8	22333	5685	500357	4.23918e-04	8.69260e-05	2579	68270	69652	-63142630.076	-62104704.213
run9	19377	3115	471273	8.31828e-04	1.36698e-04	1435	56688	68003	-63086782.481	-62104704.213
run10	18625	2851	488970	8.50181e-04	1.41190e-04	1337	53554	69257	-63084464.924	-62104704.213
run11	21014	3263	469538	7.54162e-04	1.19605e-04	1538	57612	70889	-63094300.761	-62104704.213
run12	19537	2887	471129	9.22906e-04	1.49134e-04	1305	54758	64756	-63082517.878	-62104704.213
run13	22038	4360	485342	5.61819e-04	1.04302e-04	1992	68596	69785	-63110880.713	-62104704.213
run14	19707	3439	468007	7.03073e-04	1.23833e-04	1589	58229	68404	-63092741.550	-62104704.213
run15	18291	2776	472986	8.79348e-04	1.47305e-04	1323	53262	69508	-63083101.190	-62104704.213
run16	16938	2684	447335	9.37798e-04	1.56429e-04	1235	48738	67301	-63073836.954	-62104704.213
run17	20512	3364	472021	7.48668e-04	1.23294e-04	1532	58898	65454	-63092403.320	-62104704.213
run18	18366	3345	470320	7.77828e-04	1.34177e-04	1524	57378	65133	-63091107.047	-62104704.213
run19	19703	3088	465022	7.92113e-04	1.43081e-04	1440	61699	63431	-63090565.716	-62104704.213
run20	18791	3346	459751	7.57396e-04	1.37461e-04	1472	57072	67296	-63089396.931	-62104704.213
run21	18329	3211	485253	8.17223e-04	1.44382e-04	1440	59426	71164	-63090666.402	-62104704.213
run22	20223	3420	478228	7.50798e-04	1.36037e-04	1521	58511	65672	-63094831.428	-62104704.213
run23	30633	14881	497954	1.73661e-04	3.71231e-05	6364	73877	76564	-63342530.253	-62104704.213
run24	14008	2307	467308	0.0010737	1.87107e-04	1067	42391	69446	-63071736.403	-62104704.213
run25	18673	3062	502686	8.07724e-04	1.42822e-04	1455	56069	66036	-63090446.192	-62104704.213
run26	27461	9949	524932	2.80092e-04	5.52939e-05	4157	77275	79878	-63234608.868	-62104704.213
run27	19745	3089	458072	7.98165e-04	1.32747e-04	1439	55886	65357	-63088302.498	-62104704.213
run28	17934	2865	464408	8.98513e-04	1.51640e-04	1293	58345	66340	-63084163.164	-62104704.213
run29	20239	3364	464486	7.90330e-04	1.26666e-04	1476	66627	67718	-63097119.500	-62104704.213
run30	19602	3341	496399	7.61657e-04	1.31804e-04	1512	59397	67628	-63092537.620	-62104704.213
run31	17817	2834	442192	8.63477e-04	1.45554e-04	1306	50143	65205	-63079057.141	-62104704.213
run32	19040	3434	477603	7.40714e-04	1.27426e-04	1501	55008	67763	-63090206.968	-62104704.213
run33	20518	3143	478846	8.19081e-04	1.35931e-04	1464	60307	68368	-63091070.398	-62104704.213
run34	19208	3304	466362	8.14749e-04	1.40579e-04	1449	58214	69460	-63088867.178	-62104704.213
run35	23361	5296	499580	4.80487e-04	8.60395e-05	2294	70227	71814	-63129138.988	-62104704.213
run36	20386	3363	461112	7.63870e-04	1.30201e-04	1542	61655	67633	-63093156.543	-62104704.213
run37	492210	2227	410635	7.16921e-04	2.72443e-04	27927	36889	63698	-64755113.055	-62104704.213
run38	17415	2935	464604	8.90369e-04	1.48866e-04	1330	49482	70556	-63082400.807	-62104704.213
run39	17990	2897	476492	9.22977e-04	1.50688e-04	1252	51792	68822	-63082119.257	-62104704.213
run40	19174	3040	500849	8.50269e-04	1.38141e-04	1339	54216	66894	-63087792.007	-62104704.213
run41	19466	2978	465337	8.38983e-04	1.34735e-04	1390	57677	67714	-63086878.147	-62104704.213
run42	20641	3259	462860	8.19233e-04	1.37725e-04	1446	57048	66105	-63089899.334	-62104704.213
run43	21329	4485	494393	5.61111e-04	9.89253e-05	2072	62389	71263	-63113433.325	-62104704.213
run44	20438	3493	474863	7.51563e-04	1.24459e-04	1568	60895	68622	-63092699.853	-62104704.213
run45	19354	3879	471410	6.76428e-04	1.15600e-04	1725	56664	69942	-63096526.617	-62104704.213
run46	17214	3160	485843	8.20240e-04	1.40247e-04	1419	50759	67839	-63084679.513	-62104704.213
run47	10071	1407	445548	0.0019362	3.12874e-04	635	26355	73180	-63056195.225	-62104704.213
run48	20118	2955	487712	8.28493e-04	1.35879e-04	1393	59087	69197	-63090047.238	-62104704.213
run49	19147	3266	469005	8.48712e-04	1.42916e-04	1407	56311	63197	-63092184.399	-62104704.213
run50	442148	1576	470881	0.0010678	3.95104e-04	19518	26963	70541	-64744225.669	-62104704.213
run51	25546	8400	492201	3.05102e-04	5.53100e-05	3727	74739	80185	-63209483.070	-62104704.213
run52	17731	2913	467747	8.39587e-04	1.48765e-04	1361	51435	64087	-63084970.771	-62104704.213
run53	19937	3303	479344	7.68424e-04	1.24826e-04	1544	54259	66253	-63092215.396	-62104704.213
run54	12031	1668	456793	0.0015587	2.58004e-04	739	31759	70390	-63058570.421	-62104704.213
run55	21152	3826	487823	6.87393e-04	1.14620e-04	1696	59560	65675	-63099315.310	-62104704.213
run56	14564	2412	484622	0.0010346	1.80326e-04	1100	41384	71053	-63069060.037	-62104704.213
run57	20897	3995	446080	6.58211e-04	1.10080e-04	1762	59660	63169	-63100894.732	-62104704.213
run58	19455	2987	465926	8.41833e-04	1.37841e-04	1367	56018	70267	-63086284.901	-62104704.213
run59	20151	3574	530090	6.88154e-04	1.18494e-04	1681	60593	67613	-63102959.003	-62104704.213
run60	1089	281685	429818	4.77889e-04	0.0011827	11813	12129	67171	-64031325.730	-62104704.213
run61	18822	3213	474318	7.80857e-04	1.31038e-04	1500	57682	70785	-63087913.947	-62104704.213
run62	394851	2550	419152	6.41079e-04	2.83323e-04	26059	31783	63702	-64753419.717	-62104704.213
run63	18223	2738	474657	9.86373e-04	1.54324e-04	1191	48364	68691	-63082093.227	-62104704.213
run64	22155	4546	479053	5.14878e-04	9.34232e-05	2192	67330	70064	-63117732.789	-62104704.213
run65	1060	251184	412887	5.52096e-04	0.0012584	9231	51321	63379	-64033983.357	-62104704.213
run66	18533	3251	465943	7.87873e-04	1.38352e-04	1496	54867	70880	-63089688.237	-62104704.213
run67	19334	3040	465974	7.67044e-04	1.29025e-04	1408	56472	66519	-63089689.445	-62104704.213
run68	20095	3350	490464	7.82360e-04	1.26686e-04	1539	61791	69803	-63096192.449	-62104704.213
run69	21240	3714	479344	6.83129e-04	1.11060e-04	1665	62117	64652	-63093985.783	-62104704.213
run70	19555	2795	486515	9.26002e-04	1.46148e-04	1304	54937	68005	-63082555.488	-62104704.213
run71	19415	3620	504503	6.81657e-04	1.23656e-04	1683	60837	73570	-63097845.071	-62104704.213
run72	18883	2890	450790	9.00237e-04	1.47671e-04	1331	54928	69670	-63082958.521	-62104704.213
run73	23110	6122	503431	4.17238e-04	8.13956e-05	2706	69221	73531	-63147426.777	-62104704.213
run74	20679	3218	517794	7.55724e-04	1.36179e-04	1486	63279	66074	-63099345.932	-62104704.213
