Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_S2C	MIG_S2E	MIG_G2C	MIG_G2E	DIV13	DIV03	DIV32	MaxEstLhood	MaxObsLhood
run1	1072	1353	351124	0.0014317	2.62722e-04	1.44407e-04	1.64059e-04	2.75575e-05	2.39198e-05	36647	146881	535917	-63162286.918	-62104704.213
run2	1609	2029	342329	0.0010143	1.49973e-04	1.03482e-04	1.17336e-04	1.71400e-05	1.33222e-05	57654	192088	587240	-63162462.445	-62104704.213
run3	1881	1427	351865	0.0012889	1.54366e-04	8.01313e-05	1.82942e-04	1.79130e-05	2.28576e-05	61988	150335	513674	-63161770.903	-62104704.213
run4	1993	4526	351896	5.30683e-04	1.40411e-04	8.45446e-05	3.98404e-05	1.58525e-05	4.45110e-06	65593	419034	498308	-63168029.211	-62104704.213
run5	1667	1212	347461	0.0013528	1.75852e-04	1.03543e-04	1.90870e-04	1.66739e-05	2.44301e-05	63289	129809	599224	-63161868.975	-62104704.213
run6	7544	1179	338211	0.0011589	2.90358e-05	2.36519e-05	2.15628e-04	2.84289e-06	2.77164e-05	191889	386220	549998	-63166708.714	-62104704.213
run7	2664	8550	342222	3.46247e-04	9.98455e-05	7.38125e-05	1.07925e-05	8.81361e-06	1.87784e-06	86809	279956	585133	-63182311.241	-62104704.213
run8	14799	2935	464851	5.01758e-04	4.74034e-05	1.31414e-05	7.16024e-05	1.39980e-05	3.00270e-05	2921	88866	91262	-62971412.202	-62104704.213
run9	1175	7661	340861	3.98025e-07	8.76975e-04	4.58035e-05	4.09730e-05	2.66099e-05	4.09757e-06	111516	401325	531389	-63257808.596	-62104704.213
run10	2124	4671	337237	6.18088e-04	1.19401e-04	8.08323e-05	4.36284e-05	1.28490e-05	4.08331e-06	80704	112606	587629	-63166784.702	-62104704.213
run11	2846	7454	348282	3.99119e-04	9.91917e-05	6.31528e-05	2.08037e-05	8.35817e-06	2.79323e-06	89646	387655	563940	-63172805.717	-62104704.213
run12	5005	2350	349790	6.72191e-04	5.19226e-05	3.54359e-05	9.68329e-05	4.75049e-06	1.44435e-05	143945	229395	623142	-63163872.218	-62104704.213
run13	1078	6451	352832	5.68933e-07	9.57899e-04	5.92627e-05	4.69665e-05	2.93343e-05	6.12374e-06	107155	354220	519538	-63260995.869	-62104704.213
run14	6044	5727	335973	2.94094e-04	4.21605e-05	2.92373e-05	3.60552e-05	3.43789e-06	4.63729e-06	196506	410721	621308	-63169188.868	-62104704.213
run15	14831	1328	443332	0.0011287	1.27098e-04	1.43178e-05	1.56280e-04	5.13977e-06	1.12690e-04	1431	43627	87542	-62935321.477	-62104704.213
run16	14297	1802	471163	8.74064e-04	9.41418e-05	1.00685e-05	1.00478e-04	1.37768e-05	6.92386e-05	1661	42674	83393	-62943805.287	-62104704.213
run17	2136	3293	344009	6.66511e-04	1.59659e-04	7.41456e-05	6.00669e-05	1.44131e-05	9.26202e-06	73884	495312	510530	-63163888.337	-62104704.213
run18	1383	1224	344805	0.0014307	1.69201e-04	1.22659e-04	1.84261e-04	2.37543e-05	2.59323e-05	79889	135936	519386	-63160237.185	-62104704.213
run19	7784	1239	339916	0.0011208	2.97374e-05	2.40018e-05	2.01888e-04	2.40621e-06	2.30758e-05	224592	413900	629760	-63164722.944	-62104704.213
run20	1202	2120	348598	0.0010845	1.83337e-04	1.45341e-04	8.64280e-05	3.02704e-05	1.66227e-05	59814	419217	453153	-63160640.651	-62104704.213
run21	1884	2077	341091	8.39382e-04	1.63550e-04	8.54444e-05	1.07632e-04	1.55660e-05	1.29387e-05	59545	520662	526263	-63162212.024	-62104704.213
run22	5353	5653	330662	3.45801e-04	4.45304e-05	3.39844e-05	3.98899e-05	3.87573e-06	3.66898e-06	130624	412584	587575	-63170343.036	-62104704.213
run23	1076	1577	354277	0.0012046	2.81489e-04	1.49109e-04	1.40092e-04	2.95391e-05	1.81162e-05	39343	140966	507544	-63163884.617	-62104704.213
