Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_G2C	MIG_G2E	DIV13	DIV02	DIV32	MaxEstLhood	MaxObsLhood
run1	16885	2261	478951	7.32738e-04	7.51396e-05	2.12796e-05	1.14991e-04	1894	54994	62862	-62984980.474	-62104704.213
run2	7640	6784	472540	2.76676e-04	2.41186e-05	3.19210e-05	5.00155e-05	47701	50220	69382	-63386429.808	-62104704.213
run3	5079	9972	433458	2.32060e-04	4.12046e-05	4.89644e-05	2.64589e-05	46931	52529	69365	-63389287.546	-62104704.213
run4	17924	3165	542402	5.31877e-04	4.13042e-05	2.48819e-05	7.65642e-05	2651	57954	67837	-63008365.468	-62104704.213
run5	17678	2428	445109	6.41322e-04	7.38108e-05	1.82936e-05	1.21948e-04	2169	60481	63062	-62994130.333	-62104704.213
run6	1275	10325	516043	6.54135e-04	2.04112e-04	1.80427e-04	7.33924e-08	8462	13346	84954	-63378795.610	-62104704.213
run7	1765	6031	280243	6.09793e-04	1.38324e-04	1.32688e-04	2.40023e-05	9353	9513	86038	-63378945.392	-62104704.213
run8	15625	1298	519265	0.0011996	1.33924e-04	1.73095e-05	2.35967e-04	1271	47870	66360	-62968600.510	-62104704.213
run9	1036	1819	207105	0.0012775	1.91611e-04	2.42275e-04	1.30234e-04	5120	5421	82673	-63371060.740	-62104704.213
run10	17227	1637	463302	9.60530e-04	1.13642e-04	1.89694e-05	2.06346e-04	1578	55572	60812	-62982792.284	-62104704.213
run11	9564	9132	449907	1.91998e-04	2.23263e-05	2.46197e-05	3.57222e-05	53237	64743	65766	-63392777.242	-62104704.213
run12	18473	1650	408362	9.23874e-04	1.23474e-04	9.25810e-06	1.93771e-04	1591	55911	59550	-62983569.188	-62104704.213
run13	17451	1976	483995	7.57882e-04	8.00236e-05	1.95242e-05	1.58990e-04	1885	58165	67990	-62983033.654	-62104704.213
run14	14569	1078	410234	0.0013646	1.67391e-04	1.00178e-05	2.80865e-04	1073	43282	71702	-62967262.609	-62104704.213
run15	18063	2181	452512	7.43437e-04	8.37210e-05	1.83241e-05	1.24249e-04	1891	59782	64785	-62988265.093	-62104704.213
run16	18316	1517	474241	9.44456e-04	1.09617e-04	1.55775e-05	2.09989e-04	1580	57739	67033	-62976843.054	-62104704.213
run17	1566	7516	210524	5.67884e-04	1.36635e-04	1.53745e-04	1.28666e-05	6564	10967	80647	-63391785.571	-62104704.213
run18	13601	1153	405223	0.0012393	1.44156e-04	1.53250e-05	2.59169e-04	1219	38810	74637	-62968662.530	-62104704.213
run19	16532	2627	490484	5.65726e-04	5.40953e-05	2.43386e-05	1.15720e-04	2562	60266	67778	-62999586.772	-62104704.213
run20	1566	7723	299755	6.24508e-04	1.41754e-04	1.51150e-04	1.49291e-05	8481	10623	84425	-63384884.549	-62104704.213
run21	1069	2710	235855	0.0010661	2.39522e-04	2.21807e-04	8.84161e-05	5597	6124	87198	-63365890.826	-62104704.213
run22	12348	1916	341943	9.04484e-04	7.07575e-05	4.23967e-05	1.37658e-04	1541	38963	73992	-62988256.514	-62104704.213
run23	10214	9367	445090	1.82708e-04	1.99141e-05	2.26935e-05	3.53567e-05	50032	54448	67676	-63396191.530	-62104704.213
run24	1923	5527	225028	5.65195e-04	8.76992e-05	1.26809e-04	3.61730e-05	8203	10317	81586	-63383293.696	-62104704.213
run25	19613	2115	489441	7.28943e-04	7.67253e-05	1.90553e-05	1.52092e-04	1873	62067	63906	-62989734.529	-62104704.213
run26	3245	6166	293234	4.07314e-04	5.56735e-05	7.75894e-05	3.88006e-05	13511	22708	80969	-63386653.678	-62104704.213
run27	16094	1619	387430	9.24936e-04	9.78469e-05	2.09904e-05	1.86214e-04	1608	46518	60745	-62979954.449	-62104704.213
run28	2206	16538	413257	3.62416e-04	1.13983e-04	1.08361e-04	7.86466e-08	21886	24773	70273	-63400211.987	-62104704.213
run29	3740	14461	454021	2.52937e-04	5.86388e-05	6.66551e-05	1.24386e-05	59473	68884	69846	-63396594.293	-62104704.213
run30	10114	14469	500248	1.38934e-04	1.90992e-05	2.37507e-05	1.52202e-05	37534	47308	75629	-63400864.177	-62104704.213
run31	18956	1931	463679	7.96470e-04	8.78487e-05	1.64071e-05	1.56606e-04	1819	59747	65570	-62985955.452	-62104704.213
run32	9664	14434	480347	1.50553e-04	1.90332e-05	2.44126e-05	1.57716e-05	48668	49747	69535	-63397169.769	-62104704.213
run33	9832	1027	303864	0.0016648	1.96010e-04	2.35065e-05	2.69290e-04	880	28091	79279	-62968702.718	-62104704.213
run34	18733	4919	454555	3.94566e-04	2.92247e-05	2.37709e-05	3.74671e-05	3374	63385	67023	-63038622.747	-62104704.213
run35	17446	3239	433250	5.39609e-04	5.45071e-05	2.48377e-05	6.75514e-05	2358	62748	67373	-63003772.178	-62104704.213
run36	17218	2513	504708	6.50972e-04	6.86057e-05	2.28924e-05	1.01319e-04	2076	62475	69102	-62992718.109	-62104704.213
run37	14620	1022	416283	0.0014526	1.71980e-04	1.01809e-05	3.28505e-04	1094	41709	70668	-62965801.143	-62104704.213
run38	7066	1268	492876	0.0010545	1.05776e-04	5.55391e-05	2.58675e-04	1447	65716	69561	-62983609.488	-62104704.213
run39	16752	1523	440186	9.64895e-04	8.51851e-05	2.53924e-05	2.04680e-04	1607	50328	65987	-62979685.341	-62104704.213
run40	17653	1564	451675	9.51594e-04	1.13314e-04	1.23588e-05	2.12627e-04	1676	55250	64437	-62977810.594	-62104704.213
run41	15368	1824	419366	8.67292e-04	8.85547e-05	2.63865e-05	1.80079e-04	1702	52511	62464	-62977801.717	-62104704.213
run42	19430	4684	479650	3.92797e-04	2.98213e-05	2.42403e-05	4.72219e-05	3517	62734	65754	-63035332.208	-62104704.213
run43	25448	10391	634539	1.45000e-04	1.04814e-05	1.31546e-05	1.87192e-05	8460	74468	77787	-63212594.266	-62104704.213
run44	10235	1038	314580	0.0016859	2.00883e-04	2.48476e-05	2.63069e-04	838	27789	80221	-62969742.278	-62104704.213
run45	19607	2444	487334	6.51629e-04	6.67955e-05	1.77834e-05	1.09783e-04	2234	62525	64962	-62996595.009	-62104704.213
run46	17071	1427	486472	9.82023e-04	1.24134e-04	1.41655e-05	2.44625e-04	1533	56655	67775	-62975712.808	-62104704.213
run47	9741	5907	475686	2.45237e-04	1.93835e-05	2.44210e-05	5.51220e-05	51376	53342	72567	-63388663.419	-62104704.213
run48	9193	1110	304510	0.0013695	1.45571e-04	3.90785e-05	2.61315e-04	1060	28387	73531	-62974060.225	-62104704.213
run49	11990	1067	324059	0.0013732	1.35699e-04	3.00201e-05	3.15959e-04	1116	33052	74115	-62969734.187	-62104704.213
run50	12384	11231	427694	1.68474e-04	1.04419e-05	2.15941e-05	2.58585e-05	55769	62198	69299	-63410044.388	-62104704.213
run51	17037	2207	439002	7.19959e-04	6.80780e-05	2.54523e-05	1.19836e-04	1915	54443	64441	-62986979.780	-62104704.213
run52	12900	9815	446372	1.80354e-04	9.14952e-06	1.98220e-05	3.26251e-05	48212	60439	68377	-63404717.336	-62104704.213
run53	1385	5045	205631	6.89635e-04	1.37411e-04	1.87780e-04	2.67442e-05	8089	11214	86036	-63386782.209	-62104704.213
run54	13328	1817	369917	8.49190e-04	7.14350e-05	3.55310e-05	1.61128e-04	1679	40840	71293	-62982021.054	-62104704.213
run55	16516	2081	428017	7.66945e-04	7.95224e-05	2.38458e-05	1.44351e-04	1909	56004	58630	-62984172.358	-62104704.213
run56	11946	9590	517663	1.99638e-04	1.54005e-05	1.99362e-05	2.87349e-05	50650	56517	66736	-63392993.904	-62104704.213
run57	13330	1201	332957	0.0012642	1.38238e-04	2.20534e-05	2.79273e-04	1250	37652	69278	-62970411.094	-62104704.213
run58	17676	1388	511116	0.0010265	1.19514e-04	1.12336e-05	2.26195e-04	1450	53590	69816	-62976954.079	-62104704.213
run59	1821	5820	224633	5.88610e-04	1.09119e-04	1.25776e-04	3.46429e-05	7940	8654	87728	-63382208.191	-62104704.213
run60	17953	2181	465056	6.81180e-04	7.52754e-05	2.24239e-05	1.30207e-04	1983	61086	66620	-62989080.168	-62104704.213
run61	38817	10792	202940	2.55778e-04	2.11617e-07	2.91533e-04	3.29808e-07	7217	8471	82846	-63278266.069	-62104704.213
run62	15900	2544	456123	6.05913e-04	6.16396e-05	2.44109e-05	1.16591e-04	2312	59982	66654	-62992429.102	-62104704.213
run63	9047	8116	536404	2.06795e-04	2.54228e-05	2.49684e-05	3.74390e-05	38994	44851	67133	-63382320.890	-62104704.213
run64	16927	1443	481115	0.0010009	1.18064e-04	1.61117e-05	2.10430e-04	1420	49476	68064	-62975304.916	-62104704.213
run65	19619	2583	494580	6.18370e-04	6.58322e-05	1.92375e-05	1.10641e-04	2314	64470	66607	-63001197.255	-62104704.213
run66	6426	1107	610515	0.0011978	1.47199e-04	5.45252e-05	2.75013e-04	1232	65309	70324	-62982586.812	-62104704.213
