Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_S2C	MIG_S2E	DIV13	DIV02	DIV32	MaxEstLhood	MaxObsLhood
run1	14856	1073	519911	0.0010725	6.57431e-06	3.84326e-05	3.66506e-04	3398	120402	984161	-62705145.084	-62104704.213
run2	20601	1368	498903	8.23631e-04	4.28464e-06	2.71538e-05	2.86466e-04	4457	119989	926793	-62714774.205	-62104704.213
run3	4585	12924	511131	4.18679e-08	1.10814e-04	2.26344e-05	3.53347e-05	89453	160563	754040	-63427607.072	-62104704.213
run4	20837	1432	528118	7.74620e-04	4.06152e-06	2.76350e-05	2.52834e-04	4676	122822	966100	-62717529.384	-62104704.213
run5	25393	1761	514738	7.03455e-04	3.18421e-06	2.16829e-05	2.14525e-04	5526	117550	977085	-62727896.045	-62104704.213
run6	24041	1690	505172	7.30449e-04	3.29457e-06	2.38145e-05	2.20907e-04	5131	120143	916304	-62725331.859	-62104704.213
run7	15710	1018	533928	0.0011340	5.35655e-06	4.05269e-05	4.00839e-04	3242	119142	948072	-62704152.930	-62104704.213
run8	4730	23106	535209	1.79873e-04	4.34536e-05	5.44814e-05	7.38901e-07	53098	160945	669411	-63339885.606	-62104704.213
run9	21719	1507	523953	7.58161e-04	4.16428e-06	2.71955e-05	2.62468e-04	4860	120916	934057	-62718305.646	-62104704.213
run10	23677	1558	505573	7.55218e-04	3.84098e-06	2.30930e-05	2.56703e-04	5067	122216	926092	-62721642.456	-62104704.213
run11	24026	3991	481976	3.89250e-04	4.61174e-05	1.27360e-05	6.97143e-05	3552	100042	101458	-63017921.406	-62104704.213
run12	18117	1688	355487	8.79944e-04	9.88979e-05	1.39340e-05	1.52622e-04	1645	51574	115686	-62950298.179	-62104704.213
run13	13833	1515	276777	0.0010536	9.29969e-05	2.16150e-05	1.83658e-04	1533	39927	165188	-62934410.227	-62104704.213
run14	24835	1785	508692	6.62900e-04	3.60857e-06	2.20340e-05	2.07226e-04	5684	120061	954063	-62728236.636	-62104704.213
run15	5544	25806	446385	1.55912e-04	4.55161e-05	4.03477e-05	1.92479e-06	33280	152345	164256	-63453033.998	-62104704.213
run16	28093	1737	500949	7.30299e-04	3.06811e-06	2.25441e-05	2.18080e-04	5221	125977	956123	-62731215.817	-62104704.213
run17	20771	1486	503059	7.75423e-04	4.97257e-06	2.66773e-05	2.54829e-04	4616	123268	926614	-62719970.127	-62104704.213
run18	16416	1060	509220	0.0011413	6.07391e-06	3.79102e-05	3.73826e-04	3246	123583	968310	-62706646.207	-62104704.213
run19	23736	1497	516671	8.12996e-04	3.62755e-06	2.55373e-05	2.68058e-04	4632	116881	959853	-62716553.736	-62104704.213
run20	16037	1011	553372	0.0011611	6.80886e-06	3.91384e-05	3.99798e-04	3193	120827	888298	-62705639.982	-62104704.213
run21	17718	1188	517909	9.79720e-04	5.42836e-06	3.29947e-05	3.35864e-04	3827	124004	970373	-62705647.217	-62104704.213
run22	4373	26175	561306	1.70183e-04	6.11659e-05	5.40270e-05	1.19822e-07	67903	165155	636176	-63345537.725	-62104704.213
run23	7702	20751	542968	1.54854e-04	1.41057e-05	3.76180e-05	1.46396e-06	32825	121692	552981	-63332829.889	-62104704.213
run24	2698	16766	493390	3.01015e-04	8.02194e-05	8.95635e-05	3.92609e-07	12940	152757	161715	-63459768.622	-62104704.213
run25	8448	5708	562692	3.05284e-04	7.21882e-06	3.53409e-05	5.21937e-05	11738	142393	562018	-63161474.131	-62104704.213
run26	37206	6389	482369	1.92050e-04	2.54153e-06	9.28815e-06	5.01389e-05	17127	137455	625610	-62936635.729	-62104704.213
run27	23318	4291	473978	3.71866e-04	3.83797e-05	1.45079e-05	6.92944e-05	3927	89754	103111	-63021125.586	-62104704.213
run28	22529	3191	437552	5.30901e-04	5.77871e-05	1.32564e-05	8.89696e-05	2755	79242	102297	-62996467.874	-62104704.213
