Run	N_CMC	N_CME	N_CMS	DIV13	DIV02	DIV32	MaxEstLhood	MaxObsLhood
run1	50688	30676	424925	14481	35892	36538	-64803420.062	-62104704.213
run2	51675	37154	407619	18057	34163	35753	-64801453.175	-62104704.213
run3	49347	44785	373593	22234	33351	37850	-64808994.160	-62104704.213
run4	45174	53031	395663	26438	30688	33816	-64815629.058	-62104704.213
run5	46930	5621	310898	2443	32040	32875	-64841484.830	-62104704.213
run6	47366	34443	422518	17423	33263	33704	-64799295.515	-62104704.213
run7	50766	14588	363278	6878	33781	36226	-64812601.261	-62104704.213
run8	47477	43381	371894	22045	31209	32258	-64797551.282	-62104704.213
run9	49448	15810	369410	7282	32490	35363	-64808352.837	-62104704.213
run10	44829	49250	332927	25778	30808	32184	-64807065.103	-62104704.213
run11	50592	40867	420080	19372	34563	36554	-64806296.818	-62104704.213
run12	51968	44258	397581	22478	34476	34847	-64804299.871	-62104704.213
run13	47134	31326	306328	15020	30800	33024	-64802452.395	-62104704.213
run14	51295	37869	420043	19218	35355	36187	-64800347.907	-62104704.213
run15	48067	39750	418696	19830	32710	34427	-64799804.469	-62104704.213
run16	51670	44955	421675	23435	34940	36790	-64803702.686	-62104704.213
run17	51717	45580	506326	23569	33971	35273	-64824674.601	-62104704.213
run18	44116	42386	369597	19553	29152	29582	-64805873.869	-62104704.213
run19	44365	28858	317183	14056	29732	35646	-64804815.917	-62104704.213
run20	43696	35131	342358	17188	29576	31708	-64800630.778	-62104704.213
run21	46256	38356	404147	19977	30991	33109	-64799646.997	-62104704.213
run22	51571	48657	526380	26145	34545	35085	-64831049.899	-62104704.213
run23	47855	44092	348899	22524	32919	33869	-64799157.734	-62104704.213
run24	49098	36209	303237	18328	32968	33630	-64804860.053	-62104704.213
run25	49308	31639	361398	15629	32956	33436	-64796739.541	-62104704.213
run26	47328	41633	379889	22485	32292	32924	-64799224.713	-62104704.213
run27	42668	47371	293787	24067	28735	33771	-64815074.192	-62104704.213
run28	46456	41736	395286	22189	30800	32557	-64800089.753	-62104704.213
run29	46133	36175	352784	18262	33365	35543	-64797817.060	-62104704.213
run30	45557	43716	300878	21952	30491	32077	-64807239.754	-62104704.213
run31	48149	46126	460304	23841	32289	32634	-64816811.600	-62104704.213
run32	54036	20590	391267	10127	36673	38968	-64805993.893	-62104704.213
run33	47197	42777	286350	22434	29449	31200	-64813655.277	-62104704.213
run34	46467	29751	365618	15076	31008	35476	-64796465.612	-62104704.213
run35	51534	49591	437975	25291	34567	35366	-64813930.789	-62104704.213
run36	46233	42934	378799	23060	30315	30905	-64809406.871	-62104704.213
run37	45273	38724	353664	19585	29806	32468	-64799160.696	-62104704.213
run38	44845	33747	362765	16595	30420	31787	-64795275.875	-62104704.213
run39	46913	52583	384758	27302	32828	34700	-64813781.815	-62104704.213
run40	45879	45958	453158	23705	31961	32751	-64812476.560	-62104704.213
run41	49900	27993	364920	13336	33482	34439	-64795037.135	-62104704.213
run42	48348	40105	446607	20191	32426	33211	-64805076.389	-62104704.213
run43	45472	48767	302245	26296	30060	31153	-64814924.212	-62104704.213
run44	46764	28982	351244	14188	31926	34454	-64793305.653	-62104704.213
run45	46613	47023	306506	23597	30510	30860	-64805625.662	-62104704.213
run46	46828	37359	327234	18880	30824	32642	-64800565.990	-62104704.213
run47	48021	34913	358452	16732	32451	33433	-64798186.250	-62104704.213
run48	42800	38724	362253	19707	29354	30367	-64798883.293	-62104704.213
run49	43198	45610	393163	23984	28568	31499	-64808280.157	-62104704.213
run50	47423	39764	348087	19410	33069	34766	-64801473.294	-62104704.213
run51	41222	43983	300382	22435	26682	30488	-64810334.191	-62104704.213
run52	47485	42926	345816	21168	30814	31661	-64798750.445	-62104704.213
run53	46263	24751	325929	11815	31109	35374	-64801726.460	-62104704.213
run54	44948	37955	329901	19652	29121	29842	-64804615.120	-62104704.213
run55	52440	33051	426234	17096	36135	37151	-64800340.798	-62104704.213
run56	44832	44712	367282	23054	30270	31238	-64804061.066	-62104704.213
run57	45441	46210	360044	24108	30733	31546	-64801827.965	-62104704.213
run58	50763	43955	378280	22397	34726	35081	-64805754.385	-62104704.213
run59	50351	31288	385513	14819	34846	35462	-64796801.662	-62104704.213
run60	48607	31163	381932	15297	32056	33689	-64793282.628	-62104704.213
run61	45165	43308	382478	23374	31765	32411	-64807590.377	-62104704.213
run62	49907	4968	341013	2207	33818	35152	-64840300.406	-62104704.213
run63	46315	48120	328201	24247	31047	33440	-64809435.812	-62104704.213
run64	48050	30451	384999	15428	32344	32824	-64792579.950	-62104704.213
run65	46311	33906	324693	16662	31351	32864	-64798718.282	-62104704.213
run66	49436	43917	333389	23199	32873	33646	-64806718.522	-62104704.213
run67	46355	33615	362642	17661	32103	32732	-64798471.761	-62104704.213
run68	45720	48587	318615	24673	30280	32063	-64806684.643	-62104704.213
run69	53863	31511	419051	15787	37368	37940	-64800425.774	-62104704.213
run70	50950	28325	422706	13382	35402	37226	-64801664.194	-62104704.213
run71	47427	48378	428631	25883	32561	33767	-64810170.705	-62104704.213
run72	48594	36413	366064	18537	32699	36432	-64797648.946	-62104704.213
run73	48364	36973	358945	18323	33189	33868	-64796044.539	-62104704.213
run74	49672	38348	369636	19338	33942	35101	-64801073.538	-62104704.213
run75	44160	41069	302412	21267	30461	30792	-64808651.579	-62104704.213
run76	47755	41721	457307	20884	32518	33207	-64805255.630	-62104704.213
run77	50029	27398	287997	13003	33057	33644	-64804608.910	-62104704.213
run78	47551	41315	357187	20199	31496	32044	-64801590.165	-62104704.213
